,Gene,PageRank
377,RCOR3,0.0013731394077097284
507,SREBF2,0.00134393177889447
790,ZNF416,0.00131009224903862
69,ZNF28,0.001299166307093929
154,ZNF700,0.0012928195705914876
403,ZNF148,0.001260897864335701
764,NR2F1,0.0012590194722797592
997,TBX1,0.001253787699476176
115,ARNTL,0.0012196964160411574
327,DMTF1,0.0012078746888785925
343,IRX4,0.0012017794230697217
228,MTA1,0.0012015762457372396
37,MNX1,0.0011985718880873108
358,MEF2C,0.0011956021445776604
448,ZNF326,0.0011918170498036091
336,GATA4,0.0011869918987253856
478,CARF,0.001185075455939583
120,THAP1,0.0011766775871641234
548,ZNF385A,0.001175524059053217
66,ZNF260,0.0011690704847387772
619,CIC,0.0011675334431503588
282,ZNF653,0.0011616648827533769
1126,ZBTB45,0.0011599637732534695
937,ZNF33A,0.0011588285152634055
60,ZNF558,0.0011584756154360738
340,OVOL2,0.0011581299050357544
29,FOXD4L1,0.0011564683855943554
36,MLXIPL,0.0011552568882326978
389,ZNF391,0.0011532489008582742
295,SUB1,0.0011527845842599983
277,SHOX2,0.0011504777787292512
174,IRF7,0.0011497415715373972
877,TSC22D2,0.0011495642956660147
895,ZBED5,0.00114696676374952
236,ZIC2,0.0011458971191009638
320,ZNF596,0.001144906390577922
42,ZNF625,0.0011393961485947088
564,ZNF12,0.0011373139202592586
105,PPARA,0.001136532381791784
332,ZNF610,0.001134037403188393
86,NKRF,0.001132154724351324
960,ZNF546,0.00113152895884863
234,ZNF646,0.0011304788696945476
21,ZNF606,0.0011289674683943468
592,NFIB,0.0011287503513764132
572,JUND,0.001127499467823619
75,FOXP4,0.0011254403832322683
412,ZNF138,0.0011253430234766666
2,KLF13,0.00112509465806894
528,XPA,0.0011228217178267407
832,ZNF695,0.001116211265536172
241,SMAD2,0.0011130149615832057
25,ZNF283,0.0011126633107779711
347,ZBTB4,0.0011119368964098153
388,NKX6-1,0.0011094798607296026
301,CREBL2,0.0011091731696919803
887,ELK3,0.0011010443720094396
408,RFX7,0.001099849209385133
856,NR2F2,0.0010992669138180343
760,CAMTA2,0.0010992478353145417
396,CENPA,0.001096993490791601
309,ZBTB38,0.0010960620497792368
324,FOXO4,0.001095151902699758
360,ZNF397,0.001094591511616598
702,ZNF16,0.0010937098285521394
1063,ZFP30,0.001092193077014842
252,ONECUT2,0.001091852143379892
466,ZBTB5,0.0010907045678546896
555,ZNF776,0.0010901979701745724
74,SOX6,0.0010891733683870215
201,ZNF525,0.0010886820864346135
491,ZNF737,0.0010875652900514611
640,TSC22D1,0.0010866469592436352
417,TBX19,0.0010861566534017231
49,ZNF516,0.0010840036830704737
392,RFX3,0.0010831604493082422
185,SREBF1,0.001081548643651281
47,ETS2,0.0010815459237447634
255,E2F5,0.0010806803769533495
15,ZHX2,0.001080079102653696
738,IRF3,0.001079542391155714
657,HES6,0.001078769756785721
19,NKX3-2,0.001077797389699552
217,UBTF,0.001077525128702133
147,ZGPAT,0.001076423293379914
307,ZNF708,0.0010748001791167992
420,ZNF367,0.0010744769920643794
44,CREB3L2,0.001074087178629538
204,PIAS4,0.0010727819028127747
193,TOX2,0.0010703539182781421
766,ZNF335,0.0010697578794670152
57,NFIC,0.0010692590321981928
211,ZMIZ1,0.0010689128202325605
64,VDR,0.0010683927451422541
171,IRX5,0.001068141021706917
758,ZNF124,0.001065219579383711
339,CREB1,0.0010648599489686628
472,MEF2A,0.0010637354317109288
278,CAPN15,0.001063059726944624
503,ZNF595,0.0010627265062562443
137,ZBTB2,0.0010625477504529874
101,SMAD1,0.0010624082389776104
266,MAFA,0.0010619224467731242
368,HMG20A,0.0010617572064418204
445,HLX,0.0010612815724197794
191,MSX2,0.001061272074179786
446,GLIS2,0.001060926086645905
383,HMGB3,0.0010602894472204938
188,REL,0.0010597087166582463
456,ZNF718,0.001059376321647488
223,E2F1,0.0010585778119785096
372,ZNF74,0.0010579082897646526
721,ZNF467,0.0010546922615104052
424,ZNF296,0.0010542935878632583
1124,LITAF,0.001052641080208078
551,ID3,0.0010512622457483631
157,MBD4,0.0010495830504250287
210,RORA,0.001049352807773928
946,MAF1,0.0010489273522166639
291,GLI1,0.0010485724807803927
370,ZNF222,0.0010471059068676495
294,NFX1,0.0010461250389201743
653,ZNF229,0.0010429548662004961
853,PREB,0.0010427841210114675
765,CENPT,0.0010421115952005627
447,TCF3,0.0010410898041660374
178,FOXP3,0.0010398443904312583
460,RELA,0.0010391242795789418
286,NFATC2,0.001036986912917347
45,ZNF394,0.0010367132208705056
489,RUNX2,0.0010359160784606197
729,ZNF799,0.0010350842751795826
474,ZNF276,0.001033644170094287
625,GMEB1,0.0010333235774681706
988,ZNF732,0.0010332402199557163
954,ZMIZ2,0.0010308912679341438
855,ARNT,0.001030823154927225
152,RARG,0.001030015593174919
1022,PITX1,0.0010297123224274844
283,LRRFIP2,0.0010284287279448746
973,IRX2,0.0010276379741249108
53,REPIN1,0.001026327800410791
536,ZBTB6,0.0010255937922050496
427,ZBTB21,0.0010254783152713184
318,ZNF792,0.0010254262998211621
118,ZNF35,0.001023448095923256
385,ZFP91,0.0010225745001626871
609,PLAGL1,0.0010207342648318398
589,MSX1,0.0010187338389127303
326,HES7,0.0010185756920027286
138,NCOR2,0.0010173421159886183
146,ZNF79,0.001016449953634517
79,TEF,0.001016358138399901
48,HMX3,0.0010158554079658729
98,ZNF780A,0.0010154165587116482
483,ZNF189,0.001015317979425892
708,ZNF382,0.0010144069777294
33,ZNF75D,0.0010127932672846988
510,FOXH1,0.0010124165701574752
660,POU2F1,0.0010120552512371639
824,NFYB,0.00101188966805748
823,ZNF37A,0.0010117339637324696
337,FOXK1,0.0010106804414704075
807,HES2,0.001010471238012716
913,IRX3,0.0010082433799250092
1115,KLF6,0.0010080776381751733
419,ZNF225,0.0010078136399399335
838,ZNF341,0.0010055133027668073
262,L3MBTL1,0.001005452682815939
903,NFE2L2,0.0010053712455131711
468,SON,0.001005125407987045
486,SAMD11,0.0010050467633616338
650,ZNF582,0.0010044563921059425
797,ZNF383,0.0010030767707342907
365,ZNF626,0.001002452606583554
514,ZNF292,0.0010023592134241757
116,TCF19,0.001001569579168633
480,ZNF143,0.0010015216515307877
399,ZNF431,0.0010009579281724601
542,ZNF791,0.0009998151341631786
38,KLF16,0.0009992399522267305
698,SP6,0.0009989002283569367
199,ZNF473,0.0009971075948375918
1046,ZNF600,0.0009970587476499334
317,HOPX,0.0009968058162164045
143,TRPS1,0.000995846019261487
442,FOXK2,0.0009955095872919578
59,AKNA,0.0009952487581400766
414,ZNF518A,0.0009943462452811544
251,MTF1,0.0009941560868394566
532,ZNF195,0.0009922679150807224
415,NKX1-2,0.0009922668304796303
97,TFDP1,0.0009916542138895268
430,AFF4,0.000991636237739361
786,ZFP41,0.0009904661059141429
451,CREB3L4,0.0009902692054632992
955,ZNF704,0.0009901229785308438
391,TCFL5,0.0009895417971183906
68,OVOL1,0.0009885857577083984
297,ZNF534,0.0009884739225261537
