,Gene,PageRank
380,ZNF532,0.0012575969065540481
895,TULP3,0.0012367077205265977
374,FOXP1,0.0012184758329676214
124,TCF19,0.0012016998352831882
104,ZNF689,0.0011839310939828942
257,ZBTB26,0.0011705297395107983
609,ZNF569,0.0011673483964834285
554,L3MBTL3,0.0011638573054201557
585,ARNT,0.0011622236845634092
316,ONECUT2,0.001162164508713293
698,ZNF433,0.0011619916041106877
324,ZNF580,0.0011559478847100982
523,NR2F1,0.0011539402988949715
97,ZFHX3,0.001142538271236254
590,THAP1,0.001140918067018494
858,GLIS2,0.0011354367371065146
854,ZNF772,0.0011258612821008081
70,ZNF70,0.00112298050244786
81,PPARD,0.0011195209286770634
574,ZFP90,0.0011170125877665218
282,ZNF71,0.0011002181115358969
620,ZHX2,0.0010981514736922535
972,GTF2I,0.0010949837002369065
477,ZNF24,0.001093931891518983
67,MLX,0.00109390004012914
353,ZNF79,0.001093757727693216
464,HIC1,0.001093678232430661
928,ZNF490,0.0010934215248334152
116,SMAD9,0.0010923038542213993
598,ZBTB21,0.0010909195354081315
767,ZNF282,0.001088728939089185
156,SOHLH2,0.0010840796041828064
244,ZBTB5,0.001082562225740155
236,TBX2,0.001081482345650577
853,NR4A1,0.001077807418359933
163,ZNF652,0.001077419609810208
364,MEF2A,0.0010756792951276688
956,ZNF585B,0.0010754252453867017
788,ZKSCAN8,0.0010740295217494759
96,HIVEP1,0.0010705100132835735
740,HOXB7,0.0010696932365575006
178,ZNF175,0.0010684004473742212
382,SSRP1,0.001064938060355489
64,ZNF805,0.0010644174910640627
616,HOXC9,0.001063738605957013
1095,IRF1,0.0010629413515132046
628,HOXC6,0.0010629253654216005
539,ZNF773,0.001060416421865446
538,FOXD4,0.0010595255220971495
171,ZNF790,0.0010593384706552476
784,ZNF841,0.001058314906567195
143,ZNF85,0.0010579743745976766
695,TULP4,0.001054797165149959
138,DMBX1,0.001053944857098073
759,ZNF777,0.0010534331405789926
692,RUNX1,0.0010532536238498475
762,ZNF672,0.0010528648570532389
195,ZNF25,0.0010510479893181767
511,SOX7,0.0010501936352373738
682,ID2,0.0010501289031872151
437,ZNF326,0.0010497755152430077
650,SON,0.0010496014300058463
376,IRF9,0.001048225240469107
521,FOXJ2,0.0010477931875213164
946,BHLHE40,0.0010458473355970444
247,TCF7L2,0.0010453817356891827
6,BAZ2B,0.0010449063508108161
45,THRB,0.00104137174956766
254,PREB,0.001039540299955253
1096,RAG1,0.0010389192091634115
430,ZNF891,0.0010387403072116578
14,ZNF320,0.001038730722640706
21,NFX1,0.0010375508340654631
780,ZNF17,0.0010368468618402607
246,ZNF671,0.0010355556924893045
646,ZNF781,0.0010327966778418726
42,ZNF470,0.0010316736897331823
197,ZNF628,0.001029761028016269
439,MAZ,0.0010285435869324916
22,DDIT3,0.0010257863812150477
458,ZNF581,0.001025708241656959
193,ARNTL,0.001025647151113138
1063,E4F1,0.0010250152119976718
444,PLAG1,0.0010239604532679006
1037,ZNF575,0.0010231632164466405
367,ZNF488,0.0010226501341011654
393,TSC22D3,0.0010208250370551011
1157,HOXB6,0.001019980690956719
626,ZNF286B,0.001019918670223139
958,ZBTB33,0.0010191315337813999
106,ZNF319,0.0010175707904252064
522,RFX1,0.0010173708270760239
988,ZNF141,0.0010170434725362844
1011,ZNF436,0.0010157297789635438
785,TRERF1,0.0010140158727978779
489,PRDM2,0.0010139395581838407
772,ZNF562,0.0010135169408767135
26,TEAD1,0.0010121454595485165
151,DNAJC1,0.0010116866746928774
1039,OTX1,0.00101147821717804
845,ZNF611,0.0010111009388876606
834,NRF1,0.0010109219989439333
10,NR1H3,0.0010105890482929474
528,ZMIZ1,0.0010096974466481828
471,MEIS1,0.001008715318176449
223,FOXN4,0.001008275728757074
851,SIM2,0.0010064332194648397
227,PEG3,0.0010061985396884125
108,MIER3,0.0010048262735833948
663,GLI2,0.0010046749317927108
440,PIAS3,0.0010044372370735968
737,E2F8,0.001002303128656653
777,ZNF302,0.001002018780539402
1079,ZHX1,0.0010000794636997783
264,POU2F1,0.000997833901846889
1136,SP2,0.0009977150237101752
906,ZNF75D,0.000996170421916504
100,THAP11,0.0009959771637261727
492,NFRKB,0.000995586946181852
125,TSC22D2,0.0009947065582546983
515,ZNF460,0.0009933707791415017
463,ZNF142,0.000993070172090644
1126,ZBTB25,0.0009924763160737294
707,ADNP2,0.0009924682517829376
420,ZNF454,0.0009920789392633845
249,ZNF548,0.000992008333745584
169,ZNF324,0.0009918142542486078
363,JARID2,0.0009903301722670862
1020,GMEB2,0.000989571178539725
378,ZNF83,0.0009890277215059257
758,CASZ1,0.0009883170396412428
0,CNBP,0.0009881672754997654
1107,ZNF677,0.000987803343725153
632,ZSCAN12,0.0009875929269670147
237,PBRM1,0.0009874296791982085
281,THAP4,0.0009874292173135113
423,MLXIPL,0.0009863536934545914
1111,SOX12,0.0009861375175910085
680,NPAS2,0.000986027263318262
770,STAT2,0.000985860992408371
502,ZNF844,0.0009854718035585386
184,ZNF418,0.0009852951915235648
1114,ZNF625,0.0009852406128033364
191,ZNF687,0.0009850051598386995
596,ZNF664,0.0009833373776568582
798,ZNF556,0.0009832653495213562
408,ZNF317,0.0009829679574149797
101,AEBP2,0.000982918037350473
79,BHLHA15,0.0009824938536938613
773,TCFL5,0.0009822810903495096
285,TSHZ3,0.0009822270403154012
62,SNAI1,0.000981304511724721
411,SOX8,0.0009812252616603206
1051,ZNF780A,0.0009807872485628694
176,ZNF589,0.0009800257275637708
351,ZNF318,0.0009799615073196326
1143,TFCP2L1,0.0009795772787576417
481,ZKSCAN2,0.000979061647497298
622,ZNF800,0.0009784565811036532
933,ZNF697,0.0009774744869556918
765,ZBED3,0.0009774605982307393
786,ZNF717,0.0009768657203706394
32,NCOR1,0.000975803465730434
238,IKZF4,0.0009757106790613235
716,ZNF287,0.0009749488890409097
583,NFATC4,0.0009746483446458688
800,ARID2,0.0009743969115367764
217,ARX,0.0009740061526565607
11,MEF2D,0.0009738236617158943
27,ZNF596,0.0009732528577686842
861,ZBTB8A,0.0009731536987005447
252,ARID3B,0.0009714010247886414
823,ZNF485,0.000971223828924132
497,HOXA6,0.000970379179753858
1069,BHLHE41,0.0009702702916824153
160,E2F6,0.0009701770206517117
1047,ELMSAN1,0.0009690419144946223
473,ZNF582,0.000968654773418149
118,SMAD4,0.0009683412489388565
763,DNAJC2,0.0009678660478997219
902,ZNF701,0.0009671996519035116
213,ZNF592,0.0009670922104527658
128,MIER1,0.0009666503592042754
904,NRL,0.0009666085507966634
524,ZNF385A,0.0009665594546850577
976,FOXO4,0.0009663053708655353
797,ELK1,0.0009661621981632495
556,YBX2,0.000966022132697041
584,ZNF561,0.000965467703843644
343,FOS,0.0009649874967580343
172,KLF4,0.0009648799617213836
