,Gene,PageRank
1,NR2F6,0.004644484684019321
3,ARID4B,0.0046330382712318945
5,POU2F1,0.0041210194754352425
50,PRDM2,0.004043288631995043
14,ARID1B,0.004003244640003484
25,RFXANK,0.0038049264362090022
71,ZNF391,0.0035874187043969364
48,REST,0.003214305231833702
73,ZMIZ1,0.0030794962834641516
40,GTF2I,0.0029792362133340606
60,SETBP1,0.002938382406667302
66,MGA,0.002934688142924156
121,JUNB,0.0029042641317952532
57,ZNF254,0.00287910157446823
8,ZNF18,0.002871766445342333
116,ZBED6,0.0028547522254346175
216,ZBTB49,0.002810861507075382
16,ZNF442,0.002754814822238875
113,NR2F1,0.0026593577900521285
44,ZNF32,0.0025052879855709522
353,SP9,0.0023886939631597576
109,ZNF507,0.002382012496410952
238,NFKB2,0.002380802303402729
137,CASZ1,0.0023801221831898024
245,ZNF680,0.0023750048984205454
69,ZNF669,0.002321301320815629
363,FOXA1,0.0022922044154463487
330,YBX1,0.002221930346111571
165,THAP4,0.00218842646059054
197,TCFL5,0.0021839521040591613
111,NFE2L3,0.0021093094759200228
35,ZNF234,0.002059528396288361
506,THAP5,0.002051883915670616
249,TBX1,0.002030159566910839
242,RBPJ,0.0019878375954020724
398,RERE,0.0019852709627027018
229,FOXD4,0.001981479498146083
227,RREB1,0.00195830727147801
225,ZNF461,0.0019382665322984585
169,ZFP41,0.0019299651410602814
489,ZNF629,0.001926184963984757
38,ZNF483,0.0019205699221587118
30,KLF9,0.0018883491532798748
320,BAZ2A,0.0018803959413806312
68,ERF,0.001877656766412039
288,TBX3,0.0018547862504388337
20,ZNF160,0.001808951931280908
144,ARID5B,0.00179357306146059
211,USF1,0.0017869175283100863
307,CTCF,0.0017849570257025815
474,SMARCC1,0.001774631153329041
396,PRDM10,0.0017705322491819802
127,CREM,0.001755240287363689
230,ZNF713,0.0017549765121022253
206,TGIF2,0.0017526863419219853
640,HES4,0.001752518885772758
385,ZNF704,0.001748921928052
487,TFAP2E,0.0017426385854855063
361,DNAJC2,0.0017333034967011176
167,KHSRP,0.001712494642887685
429,ZNF417,0.0017110694233176387
261,ZNF335,0.0016977519486900067
345,GRHL2,0.00167166444719167
466,MXD3,0.0016528083844846845
76,VEZF1,0.0016365643411022973
606,ZNF331,0.0016312388422037938
171,PREB,0.0016207780901701387
195,FOSB,0.0016172871083810895
603,ZNF512B,0.0016143329764653934
294,GTF3A,0.0016140237032632495
161,MTA3,0.001597378946290504
162,ZNF334,0.0015852057089789982
562,NFXL1,0.0015848504838678382
539,MNT,0.0015773512444856193
180,ZNF367,0.001572114635223818
779,ZNF813,0.0015703123119085954
372,ZNF66,0.0015640861907677299
336,SOX6,0.0015583284876628
329,ZNF415,0.001553713360259758
262,PLAGL2,0.0015526660923488981
139,ZNF175,0.0015407503719241432
677,RCOR1,0.0015078791430145236
83,ATF7,0.001497478476455202
418,SIM2,0.0014785096348340725
393,ZNF227,0.0014681190486085475
366,ZNF433,0.0014623675729127845
520,ZFP36L1,0.0014591849473836187
284,ZBTB16,0.0014414174061358794
563,PIAS2,0.0014406406278239757
668,ZSCAN25,0.0014315530918429845
192,ZNF547,0.0014164282340918724
490,GPBP1,0.0014100813136202375
128,EHF,0.001409653447591147
493,HMGB2,0.001399717306693219
149,ZNF732,0.0013698329133052074
759,ZKSCAN2,0.0013666168872386968
565,MSX2,0.001366007923618759
796,ZNF780A,0.0013636228706113676
531,PHB,0.001348774883347904
748,NKX3-1,0.0013479905395329301
850,NFIA,0.0013436820038117657
485,ZNF567,0.0013405745039798869
112,NFKB1,0.0013364815706939526
252,MAFK,0.0013336223407786354
417,CAMTA1,0.0013289922056601764
347,ZNF670,0.0013289590157581797
608,ZNF740,0.0013268169245307362
191,CDC5L,0.00132471942773021
527,TCF19,0.0013214706570822087
758,ZBTB43,0.0013069343412920498
324,TGIF1,0.001306922777235484
755,FOS,0.0013003420591679263
679,MLLT10,0.0012989063217350846
720,ZNF70,0.0012957286081415234
609,ZHX2,0.0012899596361415396
671,GATAD1,0.0012884855393836706
478,CEBPZ,0.001284884601677583
441,ZNF184,0.0012841937637415493
991,ZNF33A,0.0012780400225811974
497,GABPB2,0.0012745202134057862
74,CREBL2,0.0012628269880626075
148,ZNF268,0.0012619468869666574
616,ZNF764,0.0012573514226839723
727,ZNF100,0.0012493283848014135
11,ZNF791,0.0012484280165963163
286,NR2F2,0.0012474499406425641
718,E2F2,0.0012427795030726047
437,HMBOX1,0.0012421784078102602
141,GABPB1,0.0012416058393477526
690,ARID4A,0.0012371821811904533
87,ZNF613,0.00123479925638435
862,ZNF688,0.001234729596506763
457,ZNF107,0.0012333675005351077
41,ZNF285,0.00121382849698522
445,ZBED1,0.0012100743204608241
337,ZNF257,0.0012082701366474124
416,TET2,0.001200606145425131
367,ZNF524,0.0011931327609134299
153,TCF25,0.0011809562164875863
675,NFYC,0.0011804712305103747
450,ZBTB44,0.0011756498992075606
189,NFX1,0.0011698149802166422
382,ATF1,0.0011673126553228817
287,BCL11B,0.0011598218317290198
299,KLF10,0.0011576623596175994
517,ZKSCAN1,0.0011567676615466638
577,FOXP1,0.0011558733714577111
166,ZNF766,0.001153538233299635
458,ZNF440,0.0011440542966350538
433,ZKSCAN8,0.0011417693076178298
326,ZNF174,0.001136458844321359
22,MYBL2,0.0011355959342805113
424,ZNF462,0.0011343009009329799
610,ZFP62,0.0011334435841065416
790,HIVEP2,0.001129663573060799
64,BAZ2B,0.0011214530444349838
298,ZFHX3,0.001119228214086979
51,ZBTB33,0.0011184623110330873
342,ASCL5,0.0011162865883839724
800,TERF2,0.0011161170619263393
82,FOXG1,0.0011099038834862457
705,NFAT5,0.0011089549988522764
270,ARID1A,0.0011055189717685068
694,ZNF605,0.0011042200817840439
97,ZNF585A,0.0011001497979335312
684,TFAP2A,0.001098938313910443
501,ZNF616,0.0010925826152718245
33,HMGA1,0.0010905583124909118
32,ZNF540,0.001090098699363191
498,ZSCAN2,0.0010893531654277747
632,TWIST1,0.0010791441846850285
598,ADNP,0.001078810961095628
244,HKR1,0.001073662843194627
966,ZIC2,0.0010709467887660758
61,PURB,0.0010664395679593204
175,NFRKB,0.001061690021196851
638,LMX1B,0.0010582301138099437
196,ZNF200,0.001056486428144482
421,HNF1B,0.0010559606803149301
81,ZNF644,0.0010557529923107005
1022,ZNF852,0.0010546839885347027
878,ZNF236,0.0010540143012804579
621,MYBL1,0.0010499805935042133
146,WDHD1,0.0010436932502766241
292,BHLHA15,0.0010404907094073745
346,HMGXB4,0.0010346338484849742
9,THRA,0.0010330876612155296
1018,HMGB3,0.0010322538412232442
134,ZNF780B,0.0010315171417990268
122,ZNF223,0.0010263579182535282
423,ZNF140,0.001025272750671098
685,ZNF814,0.0010233024250128546
124,E2F8,0.0010226880686248975
992,THAP6,0.0010206974929001416
253,ATMIN,0.0010189821174028777
959,GATAD2B,0.00101709922678349
101,NFATC1,0.0010168629627427892
558,MAF1,0.0010092224987754055
594,GLIS2,0.0010056097100905673
187,HOPX,0.0010019752638289277
689,ZNF841,0.0009992273965888183
813,ZNF671,0.000997972188501772
807,NR5A2,0.0009966279170257595
891,SOX9,0.0009951105155861647
246,ATOH1,0.0009949903450467948
469,MBD4,0.0009941278623653554
399,ZNF300,0.0009936131753990024
669,GMEB1,0.0009925644109323346
820,ARID5A,0.0009910680200170862
977,KMT2C,0.0009859952751022695
403,CSRNP1,0.0009856261193079204
321,ZNF385B,0.0009852243145384207
105,SMAD2,0.0009842631121154799
125,ZNF607,0.0009771695158338194
607,ZNF639,0.0009765597010803096
377,HIVEP1,0.0009760691953770586
503,ZNF573,0.0009731436772338723
7,ZNF92,0.0009721733311941755
88,ZNF823,0.0009719497155474094
27,PKNOX1,0.0009676876139824339
505,XPA,0.0009667758396274035
278,ZNF260,0.0009641149034582692
410,ZNF277,0.0009631532254903066
193,ZNF570,0.0009592770225123224
1059,ARID2,0.0009583676356817435
595,BCLAF1,0.0009568344006021098
291,ZNF837,0.0009565961328192658
535,PURA,0.0009559895931418764
67,ZNF569,0.0009550213780372075
560,CEBPD,0.0009528891997314385
343,TEAD4,0.0009523795735616588
630,ZBTB10,0.0009522409902423992
1021,GATA4,0.0009519987416827213
968,RELA,0.0009512463709634454
282,SOX4,0.0009509781736882965
155,UBP1,0.0009501017989715945
359,ZNF577,0.0009493486098559005
135,GON4L,0.0009485423272435681
844,CREBZF,0.0009469645852308086
199,ZNF829,0.0009454009770762335
472,ZNF341,0.0009439973348899864
725,HOMEZ,0.0009436603655483146
362,ZNF771,0.0009413045676585541
256,ETV3,0.0009412146519676486
426,KLF15,0.0009401937016873462
384,ZNF496,0.0009384414281164128
521,ZNF394,0.0009374215487205604
787,ZNF443,0.0009349894807114398
738,STAT2,0.0009340846209266476
784,ZNF81,0.0009335141106566117
1030,EGR1,0.0009330616824606686
869,ZNF280C,0.000930913239388952
693,ZBED3,0.0009265866956256156
993,ZNF621,0.0009259760194240892
453,SMARCE1,0.0009257022540430382
56,ZSCAN31,0.0009224732543637119
464,MXD4,0.0009206796941184787
500,MAZ,0.0009181752669841503
317,ID1,0.0009177096582211754
79,TFAP2C,0.0009150865959959094
49,ZNF627,0.0009126531176693531
440,FOXM1,0.0009122751497612563
484,ZFHX2,0.0009118290031032765
896,ARNT2,0.0009114153259385325
761,ZNF3,0.0009106661565210786
250,HOXC13,0.0009098518551350514
745,JARID2,0.0009087180407285993
1002,TCF4,0.0009062308210088107
96,ZNF121,0.0009049193165463896
143,IKZF3,0.000903070949544551
934,ZNF138,0.0009028204644380744
354,RUNX2,0.0009024716401943937
263,ZNF143,0.0009019183714055631
37,MAX,0.0009011017044327354
26,ZNF232,0.00089735957324936
236,TEAD2,0.0008941539048869463
546,ZNF146,0.0008928287419447327
958,ZBTB41,0.0008927594089266982
391,SUB1,0.000890459134369513
641,ZNF281,0.0008890906861714201
265,NFIB,0.000887771808250629
163,NR2C2,0.000887221680435214
235,JDP2,0.0008870050833439542
174,TAX1BP1,0.0008847739337634703
739,ZNF419,0.000884363359919517
334,ZNF726,0.0008838740707667733
119,RCOR3,0.0008828507130893159
933,ZNF700,0.0008819997507092269
28,NFYB,0.0008812667882909123
760,ZFP14,0.0008802314672803664
277,SOHLH2,0.0008799491064690385
495,ZNF836,0.0008787086476864416
547,CNBP,0.0008754047991650366
123,ZNF142,0.0008746865039416148
12,ZNF549,0.0008746567770981213
724,MLX,0.0008738170593294795
348,ZNF783,0.0008726969301039544
24,MESP2,0.0008720517948859738
145,TADA2B,0.0008719580265536002
532,SREBF2,0.000871868458991738
176,ZNF470,0.0008694930004924242
446,ZNF677,0.0008678586693472757
247,GLI3,0.0008655744406982999
23,ZBTB40,0.0008651080690200911
808,ELMSAN1,0.0008647109925552228
285,ZNF136,0.000864112564050405
222,FOXP3,0.0008641034751708396
108,FOXJ3,0.0008638237783876489
338,ZNF543,0.0008629193754406929
10,DLX2,0.0008619120868327944
938,ZNF326,0.0008611967810030679
173,AFF4,0.000860327856797146
514,ZNF548,0.0008601670426984422
90,ZNF165,0.0008576572425709429
463,ZBTB7A,0.0008569832029369199
411,OSR2,0.000856649608694329
241,ZNF773,0.0008543027178313488
181,ATF4,0.0008540445270406112
6,ZNF426,0.0008530201655459429
402,ZNF248,0.0008521304386001212
29,ZNF846,0.0008513822565783147
201,ZNF91,0.0008510528316440957
556,LEF1,0.0008509983132679329
456,AHCTF1,0.0008496698136936118
77,AHRR,0.000848631304858853
768,ZNF354A,0.0008485216912603657
740,DEAF1,0.0008483675916521912
98,DBP,0.0008482080032958008
549,SP4,0.0008477729831682071
290,CREB3L2,0.0008463657024753849
865,EBF3,0.0008458635431711663
168,ZBTB42,0.0008450726768787555
293,ZNF563,0.000844024739575672
455,ZBED4,0.0008433854154730583
818,SP3,0.0008418450992456405
185,ZSCAN9,0.0008399668260073632
340,ZNF416,0.0008398072964732501
482,ARNT,0.0008391308803665417
118,ZKSCAN5,0.0008391106326334997
519,ZNF747,0.0008386157920265349
190,CENPA,0.0008385047321973838
315,ZNF628,0.000836690298951886
664,EBF2,0.0008364104566875225
642,ZSCAN21,0.0008362617663005388
422,RFX7,0.0008356866895092416
408,ZNF592,0.0008342645086526613
305,ZNF879,0.0008331271502214217
839,ZHX1,0.0008330390922985769
1049,ZNF776,0.000833019677646585
239,ZNF654,0.0008322604728238665
188,ZNF282,0.0008314472456040391
170,ZNF799,0.0008307143837804453
451,SRF,0.0008304294448224642
674,ZNF430,0.0008294756681581674
734,PPARA,0.0008293788701368045
91,ZFP1,0.000829366291959644
838,ZNF518B,0.0008281128709725256
276,PPARG,0.0008278376094643603
427,SON,0.0008275177189981369
386,ZBTB26,0.0008271616637409646
680,ZNF699,0.0008257914490682565
764,ZBTB37,0.0008256765113394376
42,ZNF488,0.0008246596209764876
376,MTA1,0.000824173882585047
59,TCF3,0.0008237078611539628
773,ZNF626,0.0008228898976864841
397,ZNF354B,0.000822107401904132
477,ZNF468,0.0008215905377883443
72,SP100,0.0008214080323975818
475,ZNF707,0.0008207499889817133
355,ZNF420,0.0008205625614257729
579,ZNF614,0.0008199997344208376
36,THAP2,0.0008196020497718398
439,ZNF273,0.0008184309920926253
46,MYNN,0.0008172277180544671
753,BARX1,0.0008171160455914479
1060,TFAM,0.0008167137818425776
373,CUX1,0.0008163252527671111
233,IRF1,0.0008156891442355971
58,ZNF622,0.000814932523841982
205,ZFP28,0.0008139375021290028
360,JAZF1,0.0008135911944941192
794,RXRB,0.0008127499559859341
1070,ZNF618,0.0008116899217943718
1072,ZNF765,0.000810097929281213
512,HES2,0.0008085738120998686
618,ZNF793,0.0008070867397561389
232,ZNF337,0.0008066478688226158
364,AR,0.0008063736934738626
830,MSX1,0.0008053428029212169
237,ZNF865,0.0008049620495642998
62,ZGLP1,0.0008031904398599308
576,NFATC3,0.0008031114629287749
43,ZNF675,0.0008030297091401451
226,ZNF749,0.0008027215908837881
825,NKX2-8,0.0008023406768861533
151,ZNF418,0.0008017865028350258
378,NFIC,0.0008017508693850614
1020,ZNF253,0.0008015315053388933
559,HOXB7,0.0008012195248424327
496,ZNF816,0.0008004873539159482
935,BBX,0.0008004190937376247
223,RARB,0.0007996314910164806
702,LRRFIP1,0.0007995899935138949
789,NCOR2,0.0007994242693979816
971,MIS18BP1,0.0007990685003704547
626,ZNF322,0.0007986137689384356
110,ZNF721,0.0007983672528899788
304,E2F7,0.0007973703084213406
117,ZNF772,0.0007972452640839172
948,JUND,0.0007971553714786414
941,ZNF226,0.0007964246299260798
159,SNAI2,0.0007955076186011547
114,RBCK1,0.0007951374710463695
1062,ZBTB5,0.0007948915902983288
297,ZNF202,0.0007948889495877128
251,ZFY,0.0007947756555651435
444,ZNF383,0.0007945343523899045
543,ZNF12,0.000792214809990442
2,EN2,0.0007918725084126156
859,MYSM1,0.0007918306088883535
631,ZNF280B,0.0007914840449875747
392,USF2,0.0007914056936414561
323,ALX4,0.0007913926306733164
126,ZNF792,0.0007913852757873881
774,NKX1-2,0.000790866003158679
695,ID2,0.0007903092249170922
627,ZNF787,0.0007900878661624769
877,CARHSP1,0.0007889232846245425
921,SP2,0.000788173019563569
910,MYT1,0.0007874023540273816
52,ZNF324,0.0007871891234736052
509,CDIP1,0.0007869479195028508
793,MIER3,0.0007861506805928102
772,THAP3,0.0007861001861728188
142,ZNF511,0.000785671518288034
394,ZNF318,0.0007842117393044715
380,ZNF14,0.0007833317698700085
688,ZNF449,0.0007833275849920424
390,ZNF197,0.0007829844052251414
1098,ZNF517,0.0007821068708651334
666,SP6,0.0007815574120127577
85,ZNF212,0.0007795343983911075
383,THAP10,0.0007794275772630716
461,TTF1,0.0007793017359724482
515,RORB,0.0007775315601399915
757,HMGXB3,0.0007775256176664545
898,TSC22D2,0.000775681964626201
55,ZNF790,0.0007755242119914091
92,ZNF316,0.000775218305427419
619,TOX3,0.0007744928786934698
777,BATF3,0.0007733538920165831
0,SNAI3,0.0007733451479111468
266,ZNF44,0.0007726924007871532
219,ZNF652,0.0007726921212698546
358,ZSCAN16,0.0007725925222310344
1092,ZNF362,0.0007722960010184639
752,ZNF275,0.0007719144276269858
687,MECP2,0.00077042228159524
370,HLF,0.0007703820052167457
309,IKZF4,0.0007683913732997212
95,ZNF117,0.0007682785933518
857,ZSCAN30,0.0007681162073738028
719,GLI2,0.0007678547087167861
636,ZNF493,0.0007677468426709559
414,ZNF133,0.0007674840331137137
1077,TFDP2,0.0007672000417600923
54,YBX3,0.0007671472394003599
499,ZFHX4,0.0007670773034028145
591,ZNF317,0.0007669844012920016
599,MLXIP,0.0007655933928602313
352,UBTF,0.0007649366766711304
1010,ZFPM1,0.0007645037096530024
84,ZNF845,0.0007642775227628411
596,ZSCAN20,0.0007641592317473013
328,ELF5,0.0007641071701328222
504,ZFP69B,0.0007634246474280214
969,CAPN15,0.0007633290929329238
686,ZNF233,0.0007631274695039407
259,REPIN1,0.0007630645243668463
136,ZNF653,0.0007610097283484073
564,ZNF398,0.0007606638605058086
961,THAP7,0.0007598453271426234
778,DLX1,0.0007587003916369247
722,SMAD1,0.0007583997214006453
428,MEIS1,0.0007583737103904056
907,ZNF789,0.0007574813127998978
1109,NCOA1,0.000757283648862255
19,GSC,0.0007572748173373537
406,DMBX1,0.0007570533811873089
806,MEF2D,0.0007570435477264499
178,ZNF319,0.0007565142194087248
1058,ZNF609,0.0007557336243184581
879,SPI1,0.0007553112523638692
713,ATOH8,0.0007552718540492527
714,GATA2,0.0007549433174829969
21,ZNF43,0.0007548249701282928
133,ZNF347,0.0007548193307348272
212,DNAJC1,0.0007536864473330467
782,NR2C1,0.0007535064097246837
438,RELB,0.000751506306798009
970,ZNF222,0.0007513921403262865
984,SOX12,0.0007511559500964032
214,RORA,0.0007506682084580508
751,HMG20B,0.0007504855929627376
783,ZNF554,0.0007501502291498003
662,GTF2IRD2B,0.0007500052375058912
157,HIVEP3,0.0007497343134393082
802,ZNF23,0.0007496093504641827
200,ZNF155,0.0007494983122206532
925,ZBED5,0.0007491619639820563
843,ZNF445,0.0007484462379402281
1088,FOXJ2,0.0007479014744199598
147,IRX5,0.0007475863862301084
103,ZNF649,0.0007469191333652408
786,RFX3,0.0007466159769977098
593,LYAR,0.0007460863262979211
574,TBX19,0.0007451679289381399
274,GPBP1L1,0.000745020798254109
588,ZBTB6,0.0007448404799313339
452,TULP4,0.0007436200546795864
365,ZNF562,0.0007431135652971946
447,ZNF429,0.0007428534801358434
156,FOXN2,0.0007422276987935262
257,TRERF1,0.0007418545691439935
449,ZNF460,0.0007412970868140317
89,THAP11,0.0007392277480691863
349,CSDE1,0.000738129487741144
976,THAP1,0.0007377216436308949
1069,KLF3,0.0007372291415274036
182,ZBTB14,0.0007369901836419688
906,ID3,0.0007359130291912204
791,ZNF345,0.0007357209310806915
601,GATAD2A,0.0007356871078738601
53,ZNF454,0.0007354590885174022
967,HINFP,0.000735044157574493
272,CCDC88A,0.0007345732775284427
234,ATOH7,0.000734550990480281
920,GTF2IRD2,0.0007342758549408347
443,ZNF827,0.0007341289502304862
412,ZNF646,0.0007340850552445778
822,ETV1,0.0007340341479358396
389,BCL6,0.0007336127203436348
280,HMGB1,0.000733293527068917
430,ZNF221,0.0007330571677831179
203,MIER1,0.0007325959497539926
473,ZNF530,0.0007325217157062153
150,ZNF497,0.0007324181936049743
313,NFIX,0.0007312005447349316
344,LTF,0.0007311230313818723
639,ZNF615,0.0007310795383814891
312,ZBTB39,0.0007302224272434546
683,ZXDA,0.0007297727888614436
646,PHTF1,0.0007296574156795764
881,ZNF711,0.000729467322477335
994,ZNF292,0.0007286254203928685
70,ELF1,0.0007281108641126543
585,ZNF215,0.0007280085839940413
339,SMAD9,0.0007277773740283373
75,VAX1,0.00072765908328542
1044,ZNF441,0.0007267891610481097
555,PBRM1,0.0007267394730989856
300,ZNF45,0.0007262162633196228
578,ZNF501,0.0007258757460561268
863,ZNF30,0.0007256870217386872
306,LRRFIP2,0.0007254350214781617
1093,IRX4,0.0007253520138712234
480,RFX5,0.0007249866676067811
983,LHX2,0.0007247415572402688
511,C11orf95,0.000723771660432387
400,HIC2,0.0007235528681300292
510,MAF,0.0007225207610889704
928,IKZF5,0.0007222239176820287
258,SP110,0.0007214387992481224
350,SOX11,0.0007212798802540706
538,ZNF302,0.0007208165998941511
583,PITX1,0.0007206257697456843
13,CREB3,0.0007203928899922852
405,FOXO6,0.0007202937728773486
887,ZNF576,0.0007202231758095504
765,ZNF37A,0.0007191288226251894
678,PIAS1,0.0007183178233251998
31,ZNF516,0.0007175848558623112
483,FOSL2,0.0007169403349405714
254,ELF2,0.000716282247759424
963,ZNF821,0.000715803519427929
158,SNAPC4,0.0007154448950009617
240,RAG1,0.0007150003867000051
842,ZNF565,0.0007149626725652754
107,ZNF229,0.0007146368648432799
673,PBX3,0.0007145855042126958
635,FOXP4,0.0007142620175679437
269,AFF3,0.0007142335496699786
600,ZNF436,0.0007141217407618945
215,ZNF595,0.0007135542966961742
404,TADA2A,0.0007128208693509653
311,ZNF571,0.0007127012361931348
954,SMAD6,0.0007122777095068322
1054,ATF2,0.0007111821233230812
860,ZNF432,0.0007111664969398665
435,ZNF648,0.000711065531855641
883,MTA2,0.0007107379132162794
115,SP1,0.00071030323998764
613,ZNF775,0.000709918167543628
120,ZNF561,0.0007098322477170748
951,PRDM15,0.0007084303081978016
209,ZNF382,0.0007075697279789096
273,ZNF585B,0.0007074002286203441
708,FOXH1,0.0007073615869446094
45,NR3C1,0.0007072182545358944
980,DMRT2,0.0007071731101291564
533,NPAS2,0.0007067036704636547
94,ARNTL2,0.0007062654398709926
467,ZNF589,0.0007062087739365923
611,CREB1,0.0007059370092083497
530,ZBTB46,0.0007056581872958098
909,HES7,0.0007056022359852305
917,ELK4,0.0007046666473699669
819,ZBTB25,0.0007046572266892683
805,ZNF10,0.0007042139342677332
268,E2F1,0.0007038345779891507
296,GLIS3,0.0007033154263579603
140,MTF1,0.0007031420893750981
513,ZNF205,0.0007021651855374502
749,ZFP30,0.0007019240771571385
676,ZNF239,0.0007005115649096508
1143,ESRRA,0.0007004920049862104
63,SETDB2,0.0006999121554686066
650,TBX15,0.0006997276348240505
459,MITF,0.0006991080165714498
831,ZBTB34,0.0006989037337026739
580,ZNF85,0.000698461895905687
937,ZNF395,0.0006980440697803183
553,PEG3,0.0006980206802834219
581,LCORL,0.0006974920760304695
476,NKX6-1,0.0006972415571661201
854,ZNF770,0.0006971143447191497
746,CEBPA,0.0006966299827666059
1140,ZGPAT,0.0006966209201797726
575,ZNF768,0.0006964082260188896
840,MESP1,0.0006961928155576264
528,MYRF,0.0006959440731092705
260,ZNF550,0.0006959330935645513
491,KLF2,0.0006958771510461686
648,E2F4,0.0006956341647536672
132,RBAK,0.0006953842512921273
387,LITAF,0.0006953011758113489
224,NCOR1,0.0006952311717363185
395,ZNF266,0.0006952116932767318
217,NR3C2,0.0006950489160421422
1073,ZNF784,0.0006944043566430093
1117,CENPT,0.0006943980875136925
554,SIX1,0.000694024416947709
715,ZHX3,0.0006940134302066875
1035,SMAD5,0.0006931236661141731
541,ZNF181,0.0006925393511579855
698,ZNF623,0.0006924631937209035
15,PLAGL1,0.0006919603084665897
332,RFX2,0.0006919522833673361
434,PPARD,0.0006915855589522313
809,YEATS4,0.0006906379708674619
1065,ZNF219,0.0006902169713523368
102,ZNF131,0.0006898505269651408
836,FOXD3,0.000689832597039432
183,ZNF551,0.0006898230971089063
973,ZBTB21,0.0006896640558593851
717,NR1H3,0.0006884011807296171
942,FOXO3,0.0006883423261789705
780,ZNF480,0.0006880982961149977
488,GRHL3,0.0006878941515672874
628,CLOCK,0.000687790633643438
99,ZNF333,0.0006877386840733359
295,TRPS1,0.0006872829258825536
978,ZNF490,0.0006867708162774728
371,ZNF267,0.0006858072879811734
829,HMG20A,0.0006852886706586139
803,ZNF512,0.0006851855375627405
415,DMTF1,0.0006843761327237482
