,Gene,PageRank
536,ZNF33B,0.0006527956873329948
2432,ZNF155,0.0005082125935562832
278,ZBTB39,0.0005058337206833946
1413,YBX3,0.0004985632335111896
425,SP6,0.0004946985564181049
1569,TERF2,0.0004920221341213831
94,FOXD2,0.0004889239636708576
1764,ATF4,0.0004887801529624839
1575,MYSM1,0.0004885671559548525
1079,ZSCAN22,0.0004825633718943635
1249,NCOR1,0.00048190467780094527
387,FOXP3,0.00048124608358324347
1571,MESP2,0.00048063301774485274
162,ZNF674,0.00048019222682668314
2744,TBX3,0.0004798385952695018
818,SP3,0.00047975550471701845
96,ZBTB37,0.0004795464953004152
688,SAMD11,0.00047953004625346545
614,ARID5A,0.0004789451456379237
3107,SIM2,0.0004779974523239145
92,CREB3L2,0.0004779594133860588
1752,ZNF793,0.0004776278052320529
36,HES2,0.0004775383913271756
913,MAX,0.00047710215498755147
920,ZNF586,0.0004767643433795846
1578,ZNF837,0.00047507912982802376
1630,JDP2,0.00047490469524614067
781,ZNF398,0.00047484471340610295
2180,ZNF528,0.00047393472995356896
481,GLI4,0.00047388405357589057
921,UBTF,0.000473266677830964
341,ZNF654,0.00047247210449806915
2264,ZXDC,0.0004723879297821475
1903,ZNF384,0.0004714917132715077
3346,NFKB2,0.00047140341833067084
1656,ZNF710,0.0004691699975331642
398,NFX1,0.00046763003077456434
1375,PIAS2,0.0004672900106061935
70,ZNF787,0.00046716127991407733
2018,ZFP64,0.000467122743979973
362,TOX3,0.00046668223509588775
2302,ZNF432,0.00046596067318423645
575,RARG,0.0004657023652113723
1093,ZNF66,0.00046558138121032265
2611,ATF3,0.00046545180513318443
790,FOXO6,0.0004653351842947811
539,SP2,0.0004642167854475349
972,ZNF571,0.0004639877197301342
118,ZSCAN12,0.0004638620396849761
1442,IRF5,0.0004629652240661192
114,ZNF165,0.0004628864232846849
184,ZNF251,0.00046240395260857797
1982,SPI1,0.0004621282349037204
503,VEZF1,0.0004615641959238919
2539,LYAR,0.0004614930888978032
1373,MEF2D,0.0004614374248487292
2629,MYRF,0.0004610128029394592
72,CREM,0.0004608372939093204
1510,ZNF276,0.00046083154458725217
681,ZNF71,0.0004605678441462641
256,KIAA1549,0.0004604823479050171
1188,NR4A1,0.0004604527454026771
3272,CSDE1,0.00046028793477754045
258,SP100,0.0004600398016958529
14,ARID4A,0.0004599810838169644
2554,ZBTB25,0.00045993343492253656
826,SNAI2,0.0004598001629502665
3285,ZBTB8A,0.0004597546606615666
1933,ZNF511,0.0004595379846284154
186,TEAD4,0.0004592710716010364
1448,ZNF764,0.00045833153418731783
1108,ZNF256,0.0004582439798963551
851,ZBED5,0.00045813927305694445
724,ARID3B,0.00045799190535079725
1355,ZNF681,0.000457676984298253
126,ZNF746,0.00045730772982454575
1605,ZNF350,0.0004571177187083059
1199,ZNF672,0.0004566644837563024
2423,ZNF580,0.0004565222656226488
88,CEBPB,0.0004563126670909465
204,ZNF821,0.0004561696964440624
337,NFIA,0.00045604839684748404
466,ZNF84,0.0004559905995009424
294,OSR2,0.00045598588471015605
373,ZNF358,0.0004556646500201867
1546,PAX1,0.00045564696903550677
1293,MYEF2,0.00045549891979175967
1500,ZNF17,0.0004551963159114276
684,RCOR2,0.00045477751542146583
478,ZNF524,0.00045441010319534835
1670,ETS1,0.00045438650005484707
2396,YY2,0.00045418739817582195
10,ZNF584,0.00045340995245398373
1462,MESP1,0.0004532251233945268
280,ZNF79,0.00045307859514321855
958,NCOR2,0.0004530294744169755
433,SMARCC2,0.0004527574551485045
1379,GON4L,0.00045262472266414445
2274,ZSCAN23,0.00045260423119406796
2107,DDIT3,0.00045232977186122707
994,RBAK,0.00045205913016210493
775,ZNF181,0.0004520023774094255
1227,MIER3,0.0004519359336822464
470,ZEB1,0.0004516170343722734
2331,ZNF732,0.00045156594415149827
941,YY1,0.0004515449814744584
1511,ZNF852,0.00045140139036172324
188,NFXL1,0.0004512599878338428
1789,ZFP62,0.00045117943534614077
1598,ZNF780B,0.0004511572471917603
404,ZNF490,0.00045075888767556586
718,ELK4,0.00045074673637183647
1366,DNAJC2,0.00045066049184172807
24,ZNF449,0.00045065039409363205
586,CARF,0.00045064716878032314
1673,OVOL2,0.0004506034388869149
1114,IRF9,0.0004504230749164278
2110,ZNF248,0.0004503326575217688
1491,ZNF253,0.000450263457421369
1059,REST,0.00045017127780710487
554,ZNF763,0.0004499801147668687
1850,CSRNP2,0.000449945529086749
648,BARX2,0.0004498621539730478
306,GTF3A,0.000449829373776562
1398,TSC22D2,0.0004497357291124714
3133,IKZF4,0.00044962025571805586
2229,SIX2,0.00044935884699277644
2687,ATF1,0.00044929124020992535
1770,NFIL3,0.00044919547842939603
484,ZGLP1,0.0004491289244719189
2100,MXD1,0.00044899531918259306
954,ZNF665,0.0004489834991665551
157,ZNF514,0.0004488084956762273
180,ZNF23,0.0004487097409823304
804,ZFP36L1,0.0004485639734963833
2038,ZNF217,0.0004484804179095174
1153,TSC22D3,0.00044811155598770694
926,GATAD2B,0.0004480467616873457
1194,CAPN15,0.0004480347001995149
84,NR3C1,0.0004476394438256363
3064,NFATC2,0.00044753768541771707
3121,ZNF543,0.00044751548206875563
86,RFX2,0.00044708360809960136
1220,ZNF576,0.0004470752916576306
744,ZNF493,0.0004468580257027635
369,BHLHE41,0.0004466536850514679
1212,HIVEP1,0.0004465071748030067
288,ZNF700,0.00044618914921640084
134,FOXJ2,0.00044618436949171356
1313,ZNF544,0.0004461824074123578
980,FEZF2,0.00044611534926218105
182,ZBED1,0.0004460397793241739
292,ZNF644,0.0004460226549035351
1342,ZNF76,0.00044580384027804846
1688,TBX19,0.00044573539616403707
2465,MECOM,0.0004457013816300927
1918,ZNF845,0.0004454693757988889
274,E2F4,0.00044536367720457475
545,ZNF512B,0.000445360595259961
52,ZNF419,0.000445351189652946
2191,CC2D1A,0.0004451465769337244
246,ZNF280B,0.00044493567407408136
1690,HOXC13,0.0004449211964303518
2346,ZBTB26,0.0004449042418503575
519,IRX4,0.00044468882982708237
194,ZNF266,0.0004446018466294708
1177,FOXH1,0.0004445514037824297
1240,CPEB1,0.0004444575474979458
20,ZNF396,0.000444377531088278
2313,ZNF629,0.00044435447648431614
212,ZNF208,0.00044419529609321373
231,ZSCAN31,0.00044416215213948055
2316,ZNF275,0.00044400459808080766
335,ZNF461,0.0004438153527901451
1247,TRPS1,0.00044380477202345787
304,ZIK1,0.0004436087799073272
1063,ZNF141,0.0004435377639358238
1731,ZBTB21,0.0004434170427108266
580,BHLHE40,0.0004433676474417536
42,PPARA,0.0004433125493205859
161,FOXM1,0.0004429246840805162
452,ZNF425,0.0004428141346807598
74,SUB1,0.00044270328625409933
693,RARA,0.0004426166061732911
316,ETV5,0.0004425732246579143
531,HMGB3,0.0004425337607802023
815,ZNF37A,0.00044249095400233283
411,ZNF652,0.0004424705007324179
3810,ZSCAN16,0.0004424570976966207
557,ZNF569,0.00044242444671044394
323,FOXB2,0.00044199525609118904
696,ZNF624,0.00044167624319511986
1988,ZNF583,0.00044108162611166497
2924,THAP1,0.0004408936669925432
1778,HIVEP3,0.00044082134028188995
1321,ZNF546,0.0004407666781744961
1676,BAZ2B,0.00044064351939932547
2386,ZBTB46,0.00044037322778079675
966,GMEB2,0.0004403519862230725
1700,ZNF622,0.0004402782475177355
327,NR1H2,0.00044025102474594787
1768,HOXA4,0.00044022963678212875
1519,NFATC3,0.0004402122466214651
1811,ZNF568,0.00044003143669412033
1115,ZNF326,0.00043997754670572575
1774,ZMIZ2,0.00043983972444841903
1573,GTF2I,0.0004397501145143848
128,KLF16,0.00043970803747697305
788,ZNF785,0.0004396973012141784
1222,TET2,0.0004396709998001697
3006,MBD2,0.0004394324344383209
1526,POU2F1,0.0004393738021387815
1358,ZNF226,0.00043937363187790927
22,MEF2A,0.00043936697576459495
947,NFYB,0.0004391345118227357
120,NFRKB,0.00043913424574453804
2241,SOX6,0.00043902685461898714
1134,ZNF280D,0.00043897794818278284
2249,PARP12,0.00043897757271897035
2171,ZKSCAN8,0.00043895259562349323
1584,NFAT5,0.0004388314859171222
2007,ZNF124,0.0004387584476817115
1620,ZNF75D,0.00043869162342953733
1980,MTA3,0.0004386644110172141
1595,TFCP2L1,0.0004384093784392076
4,FOS,0.0004383371075886743
254,MGA,0.000438278924946548
415,ZBTB12,0.00043826804466269706
1459,ZNF527,0.00043819738838958176
1617,ZNF814,0.0004381500934899445
1685,NFATC4,0.00043812746128575717
3233,MXI1,0.00043802798403273205
2497,GTF2IRD2B,0.00043785235857209137
1913,HSF4,0.0004377418436311453
664,BCL11B,0.00043772162602050325
3348,OLIG2,0.0004375013491429555
108,ZNF70,0.00043739004984709776
1091,ZNF623,0.00043738013270513824
5,ZGPAT,0.0004373252749021159
3444,ZNF639,0.00043710531004439285
555,ZNF711,0.00043705001095583614
389,ID1,0.00043704128937849295
720,BCL6,0.0004369703179394059
2090,TBX6,0.000436843807843527
160,HMGB1,0.00043680909797623484
168,PREB,0.0004364933560464873
669,ZNF121,0.000436490769981755
801,HMGB2,0.0004364499877066002
692,ZNF558,0.0004364420400044113
359,ZNF777,0.0004363926654169738
130,ZNF841,0.00043635477462764444
639,ZBTB5,0.00043635454175471766
1469,MLLT10,0.0004362611627923822
567,BNC2,0.0004362085551887292
528,ZFP69B,0.0004361773073077816
828,SOX12,0.00043607589095262354
1625,RFX3,0.00043606819287695905
963,ZNF202,0.0004359459928369381
1653,KLF4,0.0004359126200033198
3266,RLF,0.00043585899090733206
743,TRERF1,0.0004358291940408728
431,NR4A2,0.0004357488790772252
474,ZNF395,0.0004357296180797996
158,ZNF440,0.00043570517540059
64,ZNF860,0.00043569273661718885
300,ZSCAN5A,0.0004355493786114632
192,ZFHX2,0.00043549012600602015
18,ZNF142,0.00043547045353283876
150,ZNF410,0.000435384141627337
1482,HES1,0.0004349450317476184
1871,LITAF,0.00043494413554039313
227,ZNF541,0.0004347731274289102
716,ZNF563,0.00043462378522573093
986,ZNF575,0.0004345739698268023
1075,HEY1,0.00043444154525387735
797,ZNF816,0.0004344163721726141
782,ZNF277,0.0004343061121371897
3593,ZNF704,0.00043430234597010116
1452,SPDEF,0.00043417768168812294
792,FOSL2,0.00043417744030858587
2520,ZNF595,0.00043412001489951275
1822,ZNF548,0.0004337131794967812
319,ZNF781,0.00043355382432293027
106,ZNF232,0.0004334811190019628
2583,HES6,0.0004334741231645889
590,ZNF134,0.00043346403237934616
1123,DMRT2,0.0004334379551406581
2605,PAXBP1,0.00043343493427552284
407,RUNX2,0.00043322947129350285
1383,CASZ1,0.0004331931948816804
934,ZBTB4,0.0004331894390681738
982,ZNF778,0.0004331682948676886
1173,ZBTB7A,0.0004331559985544457
1281,ZNF136,0.0004329601598347243
1081,PRDM8,0.00043285921620873577
1111,ZNF223,0.00043272981195155045
2064,ETV1,0.00043271748024940117
268,NFYC,0.00043263612239685694
232,GLI1,0.0004326069491537901
660,ZNF77,0.00043255470835232675
833,HOXA5,0.00043228700194622964
2244,CBFB,0.00043228026953061083
448,STAT1,0.0004322739440843455
1029,MNX1,0.00043199552707694655
1234,ZNF135,0.00043198970058341027
345,TMF1,0.0004319815324570696
2305,ZNF664,0.0004319151415052568
12,ZSCAN25,0.00043183119834406945
1967,ZBTB6,0.00043159688316040903
603,ZNF800,0.000431418917851462
1024,ZNF300,0.0004314139630199837
3316,ZNF85,0.0004313733568414781
996,MYB,0.00043127663982874437
1489,DEAF1,0.00043124990215776633
2406,ZNF416,0.0004311765707555139
435,RBCK1,0.0004311502118735292
1843,ZNF30,0.0004311376608017484
30,ZNF268,0.0004309040565452421
3113,ZNF823,0.00043079976195579923
671,THAP5,0.0004306682977534205
266,ZNF229,0.00043065020614590095
486,TCF7,0.00043064385193542144
2057,ZNF296,0.00043063738084959176
952,ZBTB43,0.00043053784241164927
272,ZFHX4,0.0004304848978795251
599,ZNF230,0.0004304644832654582
68,ELF5,0.00043046133375284327
1745,ZNF140,0.0004304282353226193
152,ARNTL2,0.00043042052010430147
2362,TCF7L2,0.0004302189622824432
1697,ZNF10,0.0004301536231777971
1759,PBX2,0.00043008697332143895
1471,FOXG1,0.00042998979891640225
711,NFATC1,0.0004299829848559131
840,ARID1B,0.0004299511121166553
1960,ZNF678,0.0004299401413472111
730,THAP6,0.0004298081949851265
1348,ZSCAN9,0.0004297254425305186
2243,RFX1,0.0004294447170793262
2736,SETDB1,0.00042924899310771295
458,HIF1A,0.0004292319106535182
1824,ZNF506,0.00042920641849829603
379,ARID1A,0.0004292003806503856
259,ZNF879,0.0004291820721849757
249,PBRM1,0.0004291481394606663
421,MBD1,0.0004290698254627458
646,ATOH8,0.00042900054174210806
616,PKNOX2,0.0004288711101490278
2212,NFE2L1,0.0004288642058128
2154,ZNF333,0.00042884873536574243
28,ZKSCAN3,0.000428841198505313
208,ATF6,0.00042879041030930684
413,ZNF695,0.0004286970423279487
1362,ZNF692,0.00042863494177139573
1608,ZNF684,0.0004286259353602609
561,HNF4G,0.0004285276061714968
468,MSX1,0.00042848826416582234
1215,MTA1,0.00042842232663701705
