,Gene,PageRank
158,FOS,0.0007279549872278392
28,ZNF680,0.0007109277258076116
587,ZNF33B,0.0006952710417696908
16,ZBTB40,0.0006882078648453146
435,ZFP41,0.0006678068242857066
540,THAP7,0.0006624827852227819
474,RCOR3,0.0006578820596068193
145,ZNF12,0.0006309031497542532
960,ARID1A,0.0006213858860976821
447,HKR1,0.000619545725121635
230,ZNF483,0.0006190581018796086
346,NCOR2,0.0006151441299939454
437,FOXO3,0.0005978463791616116
326,KHSRP,0.000594502400773422
302,ZNF234,0.0005906993102048712
50,HMGA1,0.0005891462929407049
940,ZFHX4,0.0005871381980312241
432,GATA4,0.0005859556029842596
538,ZNF605,0.0005814139682601376
48,ZNF844,0.0005730805297629094
1213,JUNB,0.0005720400501357643
1198,PRDM10,0.000571321061300578
248,HIVEP2,0.0005658252905038331
763,ZNF670,0.0005645957509419605
441,GATAD1,0.0005591764940922464
803,HES4,0.0005573894443001802
784,ARID1B,0.0005551197987941688
417,PRDM15,0.0005551081703569346
464,MAF1,0.0005537385254767502
1,CTSL,0.0005533183850496736
270,ZNF776,0.0005525550624158581
1040,ZNF85,0.0005504174995562687
458,ZNF607,0.000549079447034762
372,ZNF618,0.0005472048527892908
557,ZNF391,0.000541785570964216
397,TBX3,0.000540033486331814
238,ZNF771,0.0005389600121247793
686,IRF7,0.0005377588476033965
240,ATF7,0.000537229060177654
518,NKX3-1,0.0005368408282130338
1182,RCOR1,0.0005335473999373111
258,ZNF33A,0.0005332471242172078
438,ZNF570,0.000532907756670353
694,NCOA1,0.0005324479160149561
1163,ZNF766,0.0005317303496190364
1204,ZNF654,0.000531383806914811
56,CAPN15,0.000531168584146812
391,ZNF285,0.0005311266917604626
110,LCORL,0.00052982307676367
970,ZIC2,0.0005283075906788946
1039,SP9,0.0005271320116419757
1628,ZNF629,0.0005264638823757312
1072,ZSCAN30,0.0005262607013542984
580,YBX1,0.0005262440867570093
279,ZFP62,0.00052580508578197
347,STAT5B,0.0005245194798368798
628,ZNF140,0.0005243091761979767
564,USF1,0.0005240488429820406
152,ZNF813,0.0005235741504902875
353,ZNF589,0.000523543224158386
106,PLAGL1,0.0005233492514113577
287,ZHX2,0.0005219403299164268
64,ZNF740,0.0005211667554634875
244,GMEB1,0.0005207959916850509
336,PREB,0.0005182426775231946
185,ZNF704,0.0005169466055919075
251,VAX1,0.000516686087778818
329,RXRA,0.0005164697262511267
653,TWIST1,0.0005162256187261022
17,NFIA,0.0005148587607516886
166,ZNF507,0.0005142764865876391
219,ZNF93,0.0005137793285168256
194,YY2,0.0005134422963058452
359,ZNF331,0.0005130183970663667
85,HMGXB4,0.0005126743898822974
952,ZNF547,0.0005125741968505493
81,ZNF254,0.0005122961221054586
411,GON4L,0.0005122363610172598
1288,BAZ2B,0.0005121664925857194
527,TBX1,0.0005119986490134549
465,ZSCAN22,0.0005118622549319614
645,ZNF66,0.000511451867542057
997,ZNF773,0.0005107829203455003
1464,ZNF277,0.000510231091309608
1121,RUNX2,0.0005094023565603717
220,MAZ,0.0005093336904902705
189,TFAP2C,0.0005086171163695111
536,ZNF845,0.0005082613787057746
162,RARG,0.0005080733040922354
222,ZNF528,0.0005070015412103684
1256,SP2,0.0005066383886890655
476,ZNF586,0.0005056091659567095
193,ZBTB37,0.0005040865154550334
1176,ZBED6,0.0005029402422965404
139,ZNF74,0.0005026964513019745
1179,THAP3,0.0005024367555672541
409,HOXC6,0.0005013444788056169
312,ZNF675,0.0005008415001535581
199,ZNF133,0.000500395230955299
950,ZNF567,0.0005002378507405518
754,ZNF117,0.0004997114854262098
571,ZSCAN18,0.0004994512380570444
60,ARNTL2,0.0004993727903091583
82,CREM,0.0004991357358961108
315,UBTF,0.0004991290792707763
386,THAP2,0.0004990252600175778
153,CREB3L2,0.0004984097809451215
901,TFAP2E,0.0004978154999275971
1095,RBPJ,0.0004969931465774695
1031,TADA2B,0.0004969386198720878
1301,FOSB,0.0004965390026302326
415,MIER3,0.0004963244916886414
101,FOXP3,0.0004960679749654953
1773,PURA,0.0004956959923726117
815,GABPB1,0.0004954495781618613
1094,ZNF146,0.0004952535616073736
208,ZFHX3,0.0004949780039756714
112,ERF,0.0004947912600061053
428,ZNF217,0.0004947277198311159
624,ID1,0.0004940242083970641
525,AHCTF1,0.0004940015451894034
122,ZNF711,0.0004939397619027077
1229,ZNF787,0.0004939308649458522
446,MAFK,0.0004938123060757001
897,FOXH1,0.0004937556696427714
560,SON,0.0004936834919118501
233,ZBTB1,0.0004934897253614147
148,ZFP28,0.0004934611164324432
758,HSF1,0.000493224311670297
706,NFAT5,0.00049283728613555
116,NFKB1,0.0004927914461839413
944,JARID2,0.0004925073661710405
972,HSF2,0.0004922972300925265
387,ZNF131,0.0004921971959816028
277,SNAI2,0.0004920099059339001
682,ZNF512,0.0004919913911325076
502,ZNF732,0.0004917761761706618
1384,ARID4B,0.0004916109087773699
13,ZGLP1,0.0004905576298149029
375,ZNF707,0.0004900560572405555
442,RREB1,0.0004895492985703769
510,ZNF136,0.0004893221111175075
937,MEF2D,0.0004890905294198763
263,ZNF827,0.0004889172020134429
3,MT-ND6,0.0004888914917683055
77,ZNF649,0.0004886808445488388
188,JDP2,0.0004883382047526866
548,HES7,0.000488279622965828
1012,ZFP14,0.00048826759987879135
561,ZNF273,0.00048823480415578253
284,NR2F6,0.00048779704246077013
107,MYRF,0.0004874248650360118
1376,ZNF236,0.0004873080451884407
1018,ZBTB25,0.00048683152848774745
102,TERF2,0.00048646219628736473
461,ZNF329,0.0004863939459263289
15,MXI1,0.0004861966269054156
918,ELMSAN1,0.0004860603382260614
395,MTA3,0.0004860006196919265
1451,CREB3,0.0004859385983189405
854,ZNF736,0.00048558127031343446
332,ZNFX1,0.00048521120790916177
175,BCLAF1,0.00048455603810828733
94,ZNF471,0.00048437199452160416
816,ZNF18,0.00048425004732880606
946,ZBTB44,0.00048385649819441515
365,ZFP64,0.0004837477813653525
941,ZNF382,0.00048362173013733633
1124,EGR1,0.00048361330437414436
711,ZNF524,0.00048354845376114805
80,ZNF671,0.00048346550276745043
607,KLF15,0.00048329497021756416
161,ZNF257,0.00048321504161086563
1181,ZFHX2,0.0004831356240253375
419,ZKSCAN2,0.0004831258378746029
1312,ZNF808,0.00048299507688717784
156,ZBTB6,0.0004827863026101586
494,ZNF799,0.0004826095725273288
1016,ZNF433,0.00048177104214525726
847,TRERF1,0.000481730285735023
69,ZNF652,0.0004811713840043025
255,NFATC1,0.0004810594116101701
12,THRA,0.0004806456107113706
713,KMT2C,0.0004805753082144977
124,BARX1,0.0004803811359393652
92,ZNF165,0.00048031346724359083
168,RBAK,0.00048028963331365093
1493,OSR2,0.00048019882940596273
1579,ZNF43,0.0004800762549184233
30,ZBTB22,0.0004797535573357181
1236,DLX2,0.0004797007087363786
514,ZNF621,0.000479652714148099
1165,ZNF549,0.0004790081156589385
1632,TADA2A,0.0004789088229495576
603,ZNF609,0.00047882817394358034
934,ZNF695,0.00047877831179491385
936,GTF2I,0.0004786312478725987
509,E2F7,0.0004785424270734432
228,HES6,0.00047848127915106425
640,BHLHE40,0.000478424507631743
619,MYBL1,0.0004783410904458483
1221,PKNOX2,0.0004782982348261552
1490,ATMIN,0.00047781579520936757
786,ZKSCAN8,0.0004777999809675199
37,TPR,0.0004777853051907217
345,ATF1,0.00047722362705566107
1080,CASZ1,0.00047721888594289816
741,NCOR1,0.00047718206884569074
539,ELK4,0.0004770795636393736
572,ZNF684,0.0004768237305519204
692,E2F1,0.0004767084498561351
831,ZNF573,0.00047668267751516146
828,MEIS1,0.000476674199521574
1345,SOX6,0.00047621501526873543
232,ZSCAN31,0.00047620386760817863
1127,NFKB2,0.00047606172935265613
570,HMG20A,0.0004759377770629696
1228,NR5A2,0.0004758731525911701
1009,ZNF846,0.00047583469097477616
574,TFAP2A,0.0004758322358360488
959,ZNF517,0.00047562454489387374
83,ZNF613,0.00047549789985755475
1290,ZNF747,0.00047546741244168387
456,FOXK1,0.0004752967021144696
322,ZNF644,0.0004749702942252945
683,ZBTB5,0.0004746275547782377
636,ZNF721,0.0004745604379033344
289,THAP5,0.00047442820997258917
104,THAP6,0.0004738837586101056
717,IRX5,0.00047383856045694103
601,BBX,0.0004737519384619662
1241,ZNF417,0.0004736507323180703
99,ZNF197,0.0004732676333315542
1088,ZNF107,0.000472922860135183
369,ZNF384,0.00047258586724858445
1201,ZNF385B,0.00047254802688294177
1055,ZFP37,0.000472414015217704
90,ZFPM1,0.00047236253387447126
463,ZNF823,0.0004723323072883656
925,CREBRF,0.00047201759689931776
870,ZNF726,0.00047182838341353566
583,ZNF232,0.00047119959264863004
1429,ZNF883,0.00047112675687268187
357,HOXA7,0.000471117548498341
440,ZNF816,0.0004710880355848045
530,E2F2,0.00047090514260996196
823,CREBL2,0.0004708736406468976
1025,LTF,0.0004707551229854099
562,VEZF1,0.00047073417396677577
401,ZNF184,0.00047069804058012143
21,NEO1,0.00047068996422208016
696,PRDM2,0.00047054668249907507
1423,ASCL5,0.0004704112149604587
311,SREBF2,0.0004702885001691437
1020,NFX1,0.00046995185175455136
267,MYBL2,0.00046988451066884993
1438,ZNF784,0.0004698730877784451
1277,THAP4,0.00046986522544778005
301,CUX1,0.0004698032988433537
123,NFE2L3,0.0004695869172683222
426,SPI1,0.0004694441015691802
206,ATF4,0.00046932660103112835
4,ZNF677,0.0004689590674317621
24,ZNF224,0.0004689479865934643
1607,PLAGL2,0.0004687868290448549
723,ZNF667,0.00046873004098586725
715,PITX1,0.00046848132835062797
893,NFATC4,0.0004684567800942897
1310,ZNF266,0.000467870698289905
314,ZNF879,0.00046781386788524964
1200,ZNF772,0.00046759818826787986
27,ZNF174,0.0004673789921681836
782,MESP2,0.0004673730875914637
290,BAZ2A,0.0004673411924781595
61,ZNF569,0.0004672522606699132
712,ZNF468,0.00046704723952696375
95,ZSCAN16,0.00046703845852233373
778,ZNF697,0.00046702368245004223
983,NR1H3,0.000466844363614792
227,ZNF233,0.0004667993271835889
974,HES2,0.00046658299351872486
297,AR,0.00046653480831289324
799,ZNF221,0.0004664074698051281
646,MSX2,0.0004663831618953823
265,HOXB7,0.00046637982813963787
528,ZNF3,0.0004663166301981557
496,MAX,0.0004662079597188996
766,ZBTB3,0.00046602843240518664
1226,ZMIZ2,0.00046577890697601726
341,ZFY,0.000465700354026896
478,MYB,0.0004656886455701971
159,SUB1,0.00046564506676321013
303,ZNF513,0.0004654950746197487
201,GLI2,0.00046534175275120233
935,MXD4,0.0004653365151696258
1456,ZNF544,0.0004653152516890764
349,ZNF511,0.0004653079663880909
1120,RFXANK,0.00046522982627348854
473,ATOH7,0.0004651243369250759
794,ZNF548,0.0004650035447208002
726,SP4,0.0004649605686786167
285,ELF1,0.000464935666855794
885,MIER1,0.00046493396779083993
756,SP3,0.0004644755233223577
1106,NFIC,0.0004642446751201946
895,ZNF239,0.00046422323262767937
370,MLXIP,0.00046408773915044757
1177,ZNF91,0.00046407524530874233
909,ZNF462,0.0004638046272560372
1596,SIX1,0.0004638016265614898
