,Gene,PageRank
63,MAP3K12,0.006793012891579419
18,ACADM,0.0064195803241011064
19,ACAA2,0.0062763462087532095
163,CACNB1,0.006197891258273986
94,SRF,0.006184309758796035
24,RELA,0.006155953042720572
16,PLA2G6,0.006046262290464583
174,MAP3K1,0.006019698478525421
27,PPP3CA,0.005881400933500142
62,GNA12,0.0058432074932454735
128,DUSP1,0.005777840118847601
145,TAOK3,0.005742983088927607
98,ECI2,0.005677409139064907
26,PLA2G12A,0.005629971550136335
8,FLNA,0.005618505692694892
1,MAP3K8,0.005598752733105672
147,EGFR,0.005479146654937674
38,FGFR4,0.0054728488886634525
170,CACNA1D,0.005469222121108189
115,NTRK2,0.005450568863172163
43,HRAS,0.005443395416002557
127,GADD45B,0.005437542139565892
3,TGFBR1,0.005421796170230203
55,RRAS2,0.005408887838402323
154,FGF13,0.00540307323053787
39,MAPK8IP2,0.005387673503262146
175,MAP3K3,0.005381984357129943
95,FGF21,0.005370935496545083
78,NTF3,0.005290433406356683
69,ALDH1B1,0.005277958416676835
148,MAPK8IP3,0.0052699675095554885
142,RPS6KA3,0.005258127964836289
79,DDIT3,0.005246461906456787
90,MAPK10,0.00523770889502319
36,CACNB3,0.005234550201521977
100,EHHADH,0.005193619320211021
206,MKNK1,0.005185614932869252
203,CPT2,0.005170189903187218
45,PLA2G2F,0.005165147365583331
135,ACADVL,0.005152977292114818
25,MAPK9,0.005135106776880357
173,KRAS,0.005133021285555327
134,JMJD7-PLA2G4B,0.005120570002474477
76,MAP4K3,0.005103950685089375
17,CACNA2D2,0.005090706998195445
15,PTPRR,0.00507293230721388
77,ALDH3A2,0.00506007227235666
101,FOS,0.005058692174412694
202,CHUK,0.005047677814799388
12,MECOM,0.005025878334473514
93,RAC3,0.005010653091094615
96,ADH1C,0.004999196338172071
218,MAP3K7,0.0049953271290516035
149,PDGFA,0.004986291157809776
178,MAP3K5,0.004956935422572469
6,IL1R1,0.004954732353776461
188,PPM1B,0.004946873611427474
99,ECI1,0.004911608533141395
165,HSPA1B,0.004896408401129456
112,HADH,0.004889197982468374
126,MEF2C,0.004873997811965019
2,PPP3CB,0.004872948710266957
201,MAP3K2,0.004847093606998103
46,DAXX,0.004817591772855881
58,PPP3CC,0.00481157112028306
177,MAP4K1,0.00480395839665473
138,PLA2G2A,0.004788445838417454
194,RASA2,0.004776277926310647
158,AKT2,0.004753586241823201
47,IKBKB,0.004727882482385553
10,MAP3K13,0.004720780864694815
83,MAPK11,0.004717380504358404
146,DUSP6,0.004712898613564139
160,ACSL5,0.004711353227564479
106,CACNA1G,0.00470680658886749
97,STK3,0.004706205055581362
67,BRAF,0.00467577135435252
86,JUN,0.004675500617955297
33,HADHB,0.004669174010890807
113,PDGFB,0.004668634065522575
20,ALDH9A1,0.004652092528679224
182,MAPKAPK5,0.004629353810661365
49,DUSP5,0.004628756214065815
137,NF1,0.004626224097281835
139,ACSL4,0.004618834035701876
109,CACNA1H,0.004616014186932187
48,MAP2K7,0.004615475828894601
29,TAOK1,0.004607160376464539
75,HADHA,0.004604114252003053
28,JUND,0.004597923848433598
108,TRAF6,0.004597563552670644
30,MAP2K5,0.004567318297932412
116,TNFRSF1A,0.004555383380231499
176,DUSP16,0.004550226216421502
65,FGFR2,0.004546603932711115
169,NLK,0.0045457559952624006
192,SOS2,0.004538868085110188
129,PPP3R1,0.004512646535891793
14,GADD45G,0.00449124324615573
189,FGFR1,0.004489776259928073
0,TAOK2,0.004481763056567503
166,HSPB1,0.004480651259455441
59,FGFR3,0.004480622826247661
11,DUSP9,0.004478657182829476
5,HSPA8,0.004446280777709882
41,NFATC4,0.004428991441869376
122,NFKB1,0.00442373214252335
34,DUSP7,0.004420364239449914
92,CRK,0.004417224499563699
164,ACOX1,0.004410038932462199
57,FGF12,0.00439900867584874
89,MAP2K1,0.004392770717650824
103,FAS,0.004388347331675167
70,TGFB3,0.004366704699257986
81,RPS6KA2,0.004356454634315056
141,RAF1,0.004354184139277406
130,GCDH,0.004352063737426531
118,ACSL1,0.004347197919829502
40,PPP5C,0.0043393340843962125
32,GADD45A,0.004319663046660104
204,MAPT,0.004302775586551777
44,DUSP10,0.004287672535984527
155,CHP1,0.00428664924240338
72,RASA1,0.004274005479902147
140,ECHS1,0.004263958475823322
213,TGFBR2,0.0042582193271313625
13,AKT1,0.004243619865522514
222,ACAA1,0.004226440918385239
157,MAP4K4,0.004222098092568949
120,ATF4,0.004222019936988907
215,ACOX3,0.004215131021771746
179,PAK2,0.004209318016724683
74,DUSP2,0.0042065008993402925
132,MAPKAPK3,0.004205664587049382
64,FGF22,0.004203874385766953
73,MAPK7,0.004201132420285172
56,MAPKAPK2,0.004190845684087778
161,ARRB2,0.004183546527495016
37,ACSL3,0.004176580836108709
193,PRKACA,0.004168437171811826
88,MYC,0.004156660158192668
124,MAP3K6,0.004156579468330335
107,TP53,0.004145271900737774
35,MAPK8,0.004132067333084293
71,ALDH2,0.0041048926973942185
87,CPT1A,0.0041002033897998775
172,RPS6KA5,0.004100069484213582
184,PLA2G4B,0.004042898673764514
114,RPS6KA4,0.004041169171657526
117,RAC1,0.0040344627277405405
111,RAP1B,0.004034197421392247
21,NR4A1,0.0040304281818965585
80,CDC25B,0.004011211706647434
190,MAP2K3,0.004000975294137894
123,MRAS,0.0039948260383678835
221,ARRB1,0.0039716726640063645
219,LAMTOR3,0.003960273929063374
22,MAPK12,0.003955261586775607
102,HSPA1L,0.003949067441091209
66,MAP2K2,0.003948857982451171
42,PRKX,0.003947319077690111
225,CACNA1I,0.003947070921667853
196,RAP1A,0.003940574156532
220,PAK1,0.003933528382285733
156,MAPK14,0.00392846417281445
52,ACAT2,0.003926886519477436
4,STMN1,0.003917788970118385
208,ACAT1,0.003916569752050366
105,ECSIT,0.003893875184752938
200,STK4,0.0038653922502353394
187,MAP2K4,0.0038572297177192874
84,TAB2,0.003850348740072054
167,MAP3K14,0.003847453655970946
119,ELK4,0.003830529007879354
7,MAX,0.003818260336970406
171,NFKB2,0.0038147100844251993
159,SOS1,0.003795752907146586
210,CPT1B,0.003789124992896212
183,MKNK2,0.0037866146724234062
82,ADH5,0.0037855891807817474
9,MAP3K4,0.0037835305376161914
85,DUSP3,0.0037802403868497695
214,CASP3,0.0037785515324372347
199,PPM1A,0.0037367937514705385
185,EGF,0.0037007021495008246
191,MAP2K6,0.0036907360782363805
162,MAPK3,0.0036864638298178755
53,CPT1C,0.003679133284096686
151,IKBKG,0.0036663884801807524
110,FLNB,0.0036606186807606857
226,ACSL6,0.0036588649808069183
68,RRAS,0.0036588517851970795
197,PLA2G5,0.0036547581585726044
50,RELB,0.003629661364616351
168,ATF2,0.003616170865426213
60,RPS6KA1,0.0035970961817637713
54,NTF4,0.0035906347790749162
61,PDGFRB,0.00355595852962889
150,ACADS,0.0035519200385886675
153,MAP4K2,0.003540212674010679
186,TAB1,0.0035296818217886317
31,ELK1,0.00351384110309164
133,PPP3R2,0.0034988211801080817
209,DUSP4,0.0034752653367141357
23,CACNB2,0.0034447215859602473
207,CRKL,0.0033926088296452866
198,PRKCA,0.0033773153110772365
144,DUSP8,0.0033714434782308547
136,RASGRP1,0.003355129301977136
143,MAP3K11,0.0033416533977706905
195,PLA2G4A,0.003323696049933774
205,RAPGEF2,0.0033096469010609163
216,MAPK8IP1,0.003308795939103071
224,ACADSB,0.0032657874926966916
131,DUSP14,0.003132364612026886
181,HSPA6,0.0031076971535454623
121,CACNG4,0.0030861435218127774
152,HSPA2,0.0030599320493256378
91,NFATC2,0.0030456332345624427
211,GRB2,0.0029538188708231527
51,GNG12,0.00294992621521413
125,RPS6KA6,0.0029197623764273223
104,TRAF2,0.002772722336125634
223,MAPK1,0.002752734988936468
217,NRAS,0.0026792737980312177
180,PRKACB,0.0026526714187884164
212,CDC42,0.0025669643736664664
