,Gene,PageRank
0,KLF7,0.0004192870485588909
1,AIFM1,3.637152999167088e-05
2,ESRRA,0.000393664120085338
3,TPT1P6,3.336837268119627e-05
4,SIX3,0.00047348592895124096
5,PARD3,3.4736046369523415e-05
6,ZSCAN22,0.000436183452294076
7,ZMYND12,2.0178238585879608e-05
8,ZNF224,0.00039425502097192004
9,FBXO7,2.2812658877765706e-05
10,IRF6,0.0004487198278416987
11,CLASP1,3.715791388520083e-05
12,ZNF587,0.00040420826970283946
13,TMEM106A,2.2500974574491398e-05
14,ATF1,0.00043900107815908224
15,RP3-510D11.2,3.590319443369084e-05
16,TFCP2L1,0.0003971292567166459
17,ANKS1A,2.512020017350288e-05
18,HMG20B,0.0004077735832083179
19,NOC2L,2.5454998572033832e-05
20,ZNF236,0.0004560747933790665
21,CBX2,3.727465947908073e-05
22,E2F2,0.0004518497961956083
23,RP11-418J17.1,3.552149931634588e-05
24,ZNF763,0.00044291412046117606
25,GNAI3,3.606290916942111e-05
26,KLF10,0.0003885006973121316
27,ZNF773,0.0003998567701716126
28,RTN4,3.399260954046201e-05
29,ZNF674,0.00036037511805613823
30,LRRC8B,3.6075453941687465e-05
31,ZNF467,0.00042288757629101056
32,TACSTD2,3.6215943318656754e-05
33,ZNF17,0.0004194802575427578
34,ALG2,2.19940821534262e-05
35,HOXA7,0.0003693763053500387
36,RPS6KA2-IT1,3.643549435238414e-05
37,HOXB13,0.00042945127306918816
38,TTN-AS1,3.6918526088482824e-05
39,ZNF468,0.00040973139960229807
40,GGTA2P,2.501762663160588e-05
41,PKNOX2,0.00041326747426932177
42,RP11-712B9.4,3.690398292373594e-05
43,ZNF507,0.0003410319759094333
44,GDPGP1,2.367719210770384e-05
45,ZNF502,0.0004265095090361004
46,RPL10P3,3.160124752544358e-05
47,ZNF565,0.00036450227835812507
48,AKAP5,3.579484689998886e-05
49,ATF4,0.0003850390272749867
50,AC079210.1,3.162037771896269e-05
51,ZNF567,0.00043122915265767956
52,RP11-634B7.4,3.7341307546264484e-05
53,ZNF883,0.00038587056644567055
54,RP11-690D19.3,2.513648159139656e-05
55,ZBTB43,0.00039670508499411306
56,TMEM42,3.616042979334958e-05
57,ADNP,0.00042554738851309986
58,JAKMIP1,3.7112314993492884e-05
59,ZNF419,0.00043919107166627466
60,SLC29A2,3.590901368762758e-05
61,RCOR1,0.000427291165740266
62,YBX1P1,3.6877398877977326e-05
63,ZBTB8A,0.00041667730420363186
64,NR3C2,0.0004246613765057789
65,TFDP1,0.00040485542693722486
66,CIR1,2.468895154826217e-05
67,THAP9,0.0004525013934270178
68,ZSCAN31,0.00042564846492172795
69,NAA15,3.708811291098198e-05
70,STAT3,0.00041438722840528205
71,UNC119B,3.731348772145826e-05
72,SOX11,0.0003903994612615425
73,ANKMY2,2.559869374616286e-05
74,ZNF678,0.0004305793817472329
75,CDC40,2.5384063150925935e-05
76,ZBTB14,0.00037722445694454834
77,HPCAL4,2.6312220516277674e-05
78,ZNF132,0.00041713860971308975
79,SH2B3,3.46251253733185e-05
80,COL4A6,3.672842642087401e-05
81,HSF1,0.0004945590158623644
82,UBE2E2,2.5193492392937026e-05
83,ZNF396,0.0004553469569430206
84,HSP90B1,2.610236079845402e-05
85,CAMTA2,0.0003756527795898983
86,TFEB,0.0004525812188319721
87,ZNF497,0.0003949062111093356
88,DUSP6,3.720637119115127e-05
89,RPL7P16,2.5030336649442934e-05
90,KLF11,0.0004177962291984251
91,RPL22L1,2.7995722992575997e-05
92,HLX,0.0003788324084545681
93,GABRD,3.579073254580467e-05
94,ZSCAN12,0.00042101595633228615
95,LMO1,3.457250039027118e-05
96,ZNF283,0.0004625036309256913
97,PNKD,3.444055755692534e-05
98,ZNF287,0.0004211672578040117
99,MR1,2.8030458054451757e-05
100,ZNF681,0.00040055534405622066
101,GPSM2,2.506700850825639e-05
102,MAFB,0.0004168077813829683
103,CTB-51J22.1,3.6827676891812666e-05
104,ZNF71,0.00044348478111981375
105,SLC25A30,2.8578270701565923e-05
106,ZSCAN2,0.0004346379281704931
107,ZNF454,0.00038617585313310333
108,ZNF408,0.0004056924203878676
109,BBX,0.0003978142330615134
110,EXD2,2.8053977583575424e-05
111,ZNF142,0.000383564224804148
112,SYT7,3.635536387245314e-05
113,FOXD3,0.0004131759345759158
114,THRAP3,2.6080457122094732e-05
115,HOXA4,0.00038620585264628906
116,ABCC1,2.8990348740956894e-05
117,ZNF267,0.0003700317933434654
118,TGFBR1,3.0731189791686315e-05
119,ZNF92,0.0003565274661763335
120,ZNF212,0.00042132043345123566
121,GTF3A,0.00038687745162553524
122,FBRS,3.513151310563998e-05
123,EBF2,0.0003904952862178371
124,GTF2IRD1P1,3.693593614587281e-05
125,FOXB2,0.0004308715161094949
126,RP11-1379J22.5,2.6641856089771407e-05
127,PCGF3,3.708005855111921e-05
128,ZNF316,0.0003973524096366016
129,RP11-44N11.2,2.6836220577445545e-05
130,ZNF414,0.00042915916652379695
131,RP11-394O4.3,2.911014985240101e-05
132,GABPA,0.0004088543367964112
133,POLR3C,2.9311587316168997e-05
134,ZSCAN21,0.00036828841443947973
135,F5,3.701737596320432e-05
136,NFIL3,0.00038365213534403487
137,RP11-467P9.1,3.154859860610208e-05
138,ZNF93,0.0004479262780341789
139,RICTOR,2.869857002860011e-05
140,KIAA1549,0.00042458006915360144
141,PDK1,3.653377023741373e-05
142,GABPB1,0.0004423903024175184
143,ZNF277,0.0004613459433170915
144,ZNF573,0.00040950569892411255
145,TWF2,3.162715477066254e-05
146,ATOH7,0.00040196198223080743
147,CCDC74A,3.319290167031312e-05
148,HOXC12,0.0004628857142864403
149,RP4-614O4.12,2.7114267021465924e-05
150,ZFAND5,2.8488390096033867e-05
151,TBX3,0.00043718965940822897
152,TRAF6,3.1701723011759566e-05
153,CAMTA1,0.0004172657472338714
154,C11orf74,2.512439255459638e-05
155,SSRP1,0.0004648783815216416
156,LRRC27,3.7255414361078444e-05
157,GATAD2B,0.00042650169966213745
158,NUDT22,2.502696687095205e-05
159,TIGD7,3.09776638448356e-05
160,ZNF512,0.0004268878790840576
161,DHX58,3.512310738145591e-05
162,HMGB3,0.0004145946006400954
163,ATXN10,3.57960620423014e-05
164,KLF5,0.00041630720294481263
165,TSPYL1,2.925611637118644e-05
166,SIX5,0.0003936444584436665
167,MLLT4,3.582787215009406e-05
168,FOXO1,0.0004131642666197931
169,GNAT2,3.7116486792505125e-05
170,ZNF682,0.0005083222589125014
171,GS1-124K5.2,2.760559640358778e-05
172,ZNF639,0.00046404468151730997
173,CASC2,3.2743170102536326e-05
174,GRHL2,0.0004087949637333014
175,BMP6,2.9412287223742432e-05
176,PRDM10,0.00040472757657047584
177,B4GALT5,2.818381303464065e-05
178,ZNF546,0.0004220283747885531
179,JAK1,3.1620100122603695e-05
180,TEAD2,0.0004319011194509325
181,CSNK1A1,3.7016024110816235e-05
182,FOXD2,0.00040619165087069493
183,UTY,2.819419196781608e-05
184,ZNF117,0.00038950593418952473
185,STAMBP,3.6809546563239945e-05
186,ZNF12,0.00038779432680635586
187,C2orf69,3.73169877489026e-05
188,ZNF700,0.0004092937284312777
189,MDC1,3.703403981938344e-05
190,ANKRD50,3.2382701272369875e-05
191,ZNF19,0.00043859397371481465
192,CTD-2619J13.16,3.724474843759059e-05
193,SMARCC1,0.0003798463259068033
194,WDR92,3.02532482041541e-05
195,ZNF707,0.00045829795684526923
196,RPS15AP38,2.783990749021264e-05
197,FOXO3,0.0003896662115346933
198,XXcos-LUCA11.4,2.9085370178620698e-05
199,ETS2,0.0005021411006470823
200,GOLM1,3.697934619251614e-05
201,HIF1A,0.000458527523074565
202,PIAS3,0.000451316137473778
203,E2F5,0.0004067411099946712
204,GNAO1,3.0325064874781618e-05
205,SOX7,0.0004388656342639864
206,ATP6V0E2,3.610198115061609e-05
207,NRL,0.0004203159212919186
208,PALMD,2.9542312157338816e-05
209,ERF,0.00041383590898471593
210,ADCK1,3.2670212913827625e-05
211,ZNF561,0.00044946906516977217
212,SDCBP2-AS1,2.750049461146816e-05
213,TSC22D2,0.00047934680758681547
214,LINC01136,3.557412410240353e-05
215,POLRMTP1,3.120089587453052e-05
216,ZNF574,0.0004401854041389488
217,PRKAA2,3.704645844226956e-05
