,Gene,PageRank
0,ACAA1,0.43077678394389224
1,ACAA2,0.5147925609897666
2,ACADM,0.49734175691209115
3,ACADS,0.5534270220460362
4,ACADSB,0.470487382515823
5,ACADVL,0.5486455960499254
6,ACAT1,0.5017254768890621
7,ACAT2,0.5254296322703027
8,ACOX1,0.5153790327511373
9,ACOX3,0.5389071775864674
10,ACSL1,0.5412528814234474
11,ACSL3,0.5252800615856246
12,ACSL4,0.47962855130933324
13,ACSL5,0.4679267392315341
14,ACSL6,0.4736228213382515
15,ADH1C,0.5226126307513449
16,ADH5,0.4835491663197073
17,AKT1,0.48390952637146195
18,AKT2,0.4343136325308861
19,ALDH1B1,0.5096950181398457
20,ALDH2,0.4281971944011533
21,ALDH3A2,0.5311948005968252
22,ALDH9A1,0.43161469388693147
23,ARRB1,0.47992108076145557
24,ARRB2,0.5545815439453422
25,ATF2,0.4537693670733658
26,ATF4,0.47316245305481147
27,BRAF,0.5039116278505399
28,CACNA1A,0.5454650618311079
29,CACNA1D,0.417711859570857
30,CACNA1G,0.5435628382324891
31,CACNA1H,0.40274268199176333
32,CACNA1I,0.5108419150573178
33,CACNA2D2,0.5282782062596256
34,CACNB1,0.43350485488984236
35,CACNB2,0.5287171978659978
36,CACNB3,0.5199593025185516
37,CACNG4,0.43854979219058166
38,CASP3,0.5403663282779979
39,CDC25B,0.4215196316822
40,CDC42,0.48269066610766775
41,CHP1,0.5238234242939183
42,CHUK,0.448716280757638
43,CPT1A,0.4664938618555448
44,CPT1B,0.3906087441489866
45,CPT1C,0.3859520821790253
46,CPT2,0.4512393250103238
47,CRK,0.4221685889450999
48,CRKL,0.5613283884270179
49,DAXX,0.5593517539450591
50,DDIT3,0.5191733120325133
51,DUSP1,0.5649624970351405
52,DUSP10,0.49485057576858665
53,DUSP14,0.48597227664737164
54,DUSP16,0.46082679747370137
55,DUSP2,0.5224083916287579
56,DUSP3,0.5709931130146744
57,DUSP4,0.47131358239341437
58,DUSP5,0.4220420040462081
59,DUSP6,0.4707378577374651
60,DUSP7,0.45706532526629234
61,DUSP8,0.42111849324326756
62,DUSP9,0.4276772103203966
63,ECHS1,0.45771724733126656
64,ECI1,0.5583422919419714
65,ECI2,0.4784242731509423
66,ECSIT,0.4677134437138787
67,EGF,0.45826624466763716
68,EGFR,0.42511999531480404
69,EHHADH,0.4170301025722576
70,ELK1,0.5320771458240723
71,ELK4,0.48748591290014137
72,FAS,0.4709239396340297
73,FGF12,0.5055103137696445
74,FGF13,0.5753353335327052
75,FGF21,0.5319234250597252
76,FGF22,0.4619341884100984
77,FGFR1,0.468295819760981
78,FGFR2,0.5200094634435908
79,FGFR3,0.38307655098006965
80,FGFR4,0.5381738252573095
81,FLNA,0.4542252970645434
82,FLNB,0.5093432004840742
83,FOS,0.42593002514290296
84,GADD45A,0.48140139536439963
85,GADD45B,0.4512645639433541
86,GADD45G,0.5240513898944489
87,GCDH,0.42133837022105325
88,GNA12,0.39562932739620593
89,GNG12,0.41603581209831264
90,GRB2,0.41642183935648686
91,HADH,0.42301833251044235
92,HADHA,0.5139367910330226
93,HADHB,0.48569304217238146
94,HRAS,0.440602277256938
95,HSPA1B,0.42613665773649706
96,HSPA1L,0.42404950889153725
97,HSPA2,0.453812865369836
98,HSPA6,0.44317485416739516
99,HSPA8,0.4470196720178409
100,HSPB1,0.4705704739130724
101,IKBKB,0.4518496533213247
102,IKBKG,0.44565222229726836
103,IL1R1,0.5015397657266006
104,JMJD7-PLA2G4B,0.485849564231197
105,JUN,0.5104849928427927
106,JUND,0.4639421478015371
107,KRAS,0.46301794553988074
108,LAMTOR3,0.4894441667264109
109,MAP2K1,0.5007264564557234
110,MAP2K2,0.46447734679187835
111,MAP2K3,0.48584224913946567
112,MAP2K4,0.4474604787721812
113,MAP2K5,0.5619326568497893
114,MAP2K6,0.49867888667327764
115,MAP2K7,0.5058256737752498
116,MAP3K1,0.4522528781180818
117,MAP3K11,0.46242768215499486
118,MAP3K12,0.5431820457483716
119,MAP3K13,0.4784368619080992
120,MAP3K14,0.5544161859892957
121,MAP3K2,0.4544751018474369
122,MAP3K3,0.4363653319068197
123,MAP3K4,0.41899330533631907
124,MAP3K5,0.4017320214096097
125,MAP3K6,0.5256781999312157
126,MAP3K7,0.46159395781735496
127,MAP3K8,0.48777830889625867
128,MAP4K1,0.43798962880691406
129,MAP4K2,0.43685364053874015
130,MAP4K3,0.43823760208064916
131,MAP4K4,0.4782301450899138
132,MAPK1,0.4593013975610674
133,MAPK10,0.4729550664347248
134,MAPK11,0.5454551290749586
135,MAPK12,0.4468144307212914
136,MAPK14,0.537193868442747
137,MAPK3,0.49768040707280814
138,MAPK7,0.40931077514156633
139,MAPK8,0.3821935213960312
140,MAPK8IP1,0.5082070592617466
141,MAPK8IP2,0.5372479097618199
142,MAPK8IP3,0.5492184159968913
143,MAPK9,0.44956683894537985
144,MAPKAPK2,0.5285825975158018
145,MAPKAPK3,0.5162755458609533
146,MAPKAPK5,0.4309142997297665
147,MAPT,0.542325773465793
148,MAX,0.4024861032092686
149,MECOM,0.542056022692435
150,MEF2C,0.5045877399229215
151,MKNK1,0.4650324067898128
152,MKNK2,0.44718470574328395
153,MRAS,0.4944997602397157
154,MYC,0.4958709999672862
155,NF1,0.5077523598512996
156,NFATC2,0.4166045973365348
157,NFATC4,0.43639308776551194
158,NFKB1,0.4797551596385993
159,NFKB2,0.5519922034645762
160,NLK,0.48753911700101304
161,NR4A1,0.4581270642930943
162,NRAS,0.4766427372201183
163,NTF3,0.43241020750868614
164,NTF4,0.5157807351816355
165,NTRK2,0.3682240557086265
166,PAK1,0.4702724734655349
167,PAK2,0.4159704143417715
168,PDGFA,0.5045756519178867
169,PDGFB,0.46846874691696977
170,PDGFRB,0.5142694368296024
171,PLA2G12A,0.4298978244239255
172,PLA2G2A,0.40408690553155646
173,PLA2G2F,0.43933335551856534
174,PLA2G4A,0.45632503705961547
175,PLA2G4B,0.4106920613349911
176,PLA2G5,0.538885553786629
177,PLA2G6,0.514047684441339
