,Gene,PageRank
906,ELF1,0.0013310160332325115
444,ELF5,0.0012468500970041498
507,ZNF431,0.0012137887196981099
516,ZNF827,0.001183197294728598
242,ZBTB18,0.0011770208599418482
10,ZNF25,0.0011649684213758998
396,ZGPAT,0.0011644920445822472
367,SETDB2,0.0011621065473821962
531,ZNF12,0.0011618848313675557
948,ZFP28,0.0011478167031672365
898,FOXN4,0.001145681369968129
956,ZNF778,0.0011454997747850709
46,ZNF562,0.0011398762671218183
461,ZNF71,0.0011395371066082914
457,PLAG1,0.0011319029929229875
1114,GLI4,0.0011287079994729613
414,ZNF302,0.0011280305954043909
907,NFIC,0.0011277455447724367
40,BAZ2B,0.0011249877187546953
1151,ZNF281,0.00112338983191918
888,AFF4,0.0011210129492837042
338,ZBTB40,0.0011199692819881001
213,CBFB,0.0011192002367276664
282,THAP4,0.0011188063831204266
1122,THAP1,0.0011162248888353533
652,IRF5,0.0011153788074236908
724,ZNF726,0.0011117865590519057
291,ZNF883,0.001109279942245043
787,NFX1,0.0011084553038205045
189,ZBTB7A,0.0011039907770466603
775,DNAJC2,0.001103694008088052
147,ZNF419,0.0011032109658033948
1101,MLLT10,0.0011018168217313902
35,REPIN1,0.0011014744705987157
169,ZNF569,0.001098746724969825
276,IKZF2,0.0010986009360658318
1092,ZBTB25,0.0010967500592719767
443,ZNF587,0.00109650279255006
273,ZNF443,0.0010938013216953981
925,FOXN1,0.0010899991665138432
1064,ZNF253,0.001089223343387386
1144,ZNF544,0.001089028912574724
27,AEBP2,0.001086769229725429
815,TFAP2A,0.0010855984007821133
450,ZBTB22,0.00108465177131491
624,ZMIZ1,0.0010833346326726443
597,ZNF385A,0.0010829728593974737
897,ZNF236,0.0010827937965451708
975,SIX4,0.0010814663434007047
660,ID1,0.0010789126415547657
689,NCOR2,0.001073795292757736
1033,IRF9,0.0010735238377474312
160,HOXB13,0.0010733085834755255
613,ATF6B,0.0010716460911015058
1146,ZNF625,0.0010714402871654911
566,ZNF256,0.0010706781246581747
181,ZNF680,0.0010700411263692476
745,ZNF611,0.0010661508162433148
536,KHSRP,0.0010655233142029372
22,ZNF626,0.0010627211949999816
410,ZSCAN23,0.0010620674938701697
346,ZNF585A,0.0010616853471661911
509,PLAGL2,0.0010616181159673814
265,NFATC2,0.001061196034772332
183,SSRP1,0.0010611777585827627
526,NFXL1,0.0010609616588083345
104,PBX3,0.0010602384284682045
179,MECOM,0.0010590695032058725
88,HOXC9,0.0010589185636706957
582,PBX4,0.0010552533106638574
812,ZKSCAN3,0.0010536303561054488
281,FOXM1,0.0010532254014895333
180,MIER1,0.0010526375776880742
1078,GLIS2,0.0010521897015284447
580,NKX2-8,0.001051803849632024
588,BARX2,0.0010515672772908966
757,ZNF320,0.001050874289861607
612,ZNF2,0.001048930025053316
681,ZNF454,0.0010489258954894057
489,RELA,0.001046312590602263
144,ZNF490,0.0010462453138631905
262,ZNF182,0.0010458796327879772
564,HSF4,0.0010446213613903653
708,ZNF701,0.0010443754909203122
742,TMF1,0.0010439170340624069
973,MTF1,0.001042135607997282
129,ZNF691,0.0010402613570976878
674,ZNF609,0.0010378685179027738
421,IRX4,0.001037293867178548
208,NFIA,0.0010367945937364486
204,SOX7,0.0010364222356001192
65,ZBTB5,0.0010357225089898607
1118,XPA,0.0010352676314501557
767,BHLHA15,0.001034392235014653
460,ZNF736,0.001034275707125829
1068,ZNF573,0.0010321096734749828
5,NKX6-1,0.0010318538186378165
1009,ZNF33A,0.0010314875534362935
581,ZNF133,0.0010307998975424254
362,NFATC3,0.0010301266279128661
300,ARID3A,0.00102970463401163
445,ZNF823,0.001029430307083372
448,NFIL3,0.001028302007116062
89,ZNF396,0.0010257046181827822
253,FOXK1,0.0010251953066170805
680,PRDM2,0.001024802839097189
16,CASZ1,0.0010244335740669372
12,ZNF860,0.00102422728704274
125,MAFB,0.0010236253060924565
698,SOX4,0.0010234850935333794
466,ZNF689,0.0010232708670657124
715,ZNF781,0.0010216033489540354
132,ZNF700,0.0010215662890800837
936,SP2,0.0010208952823486683
379,ZNF143,0.0010208177653100545
954,ZNF813,0.0010196509054243414
236,ZNF586,0.00101897847924172
