,TF,target,importance
837,ZNF506,ZNF275,5.0946616194484315
1153,ATF5,FOSB,4.465338529288567
1017,ZNF786,NKX6-1,4.325376662611653
232,ZNF91,REST,4.2454150198164795
703,ZNF732,SNAI3,4.131796851830155
118,ZNF25,NFIX,4.124349578596792
1176,ZNF860,PIAS3,4.0458612731730055
303,HSF1,ZSCAN31,3.9792624693566743
1003,CASZ1,MYSM1,3.900827984719688
94,FOXO1,ZNF577,3.873917364355959
863,RCOR3,ZNF772,3.82920466216042
6,ZNF626,ZNF507,3.8188168164952874
534,ZFAT,PPARG,3.804825120781828
1020,FOXJ2,AEBP2,3.782530648644901
374,ZNF644,SMAD1,3.775256756359386
933,AFF1,ZNF563,3.7453058999145536
1027,RARB,TFEB,3.6888730302856394
1063,ZNF132,REPIN1,3.5725932786829686
586,ZNF250,IRF3,3.559827244105714
981,ZKSCAN2,ZNF629,3.5196573474249684
611,BAZ2B,ZNF524,3.50138624292423
148,ATF1,ZNF784,3.4951151529936935
151,ZSCAN21,ZNF221,3.4442748966735466
722,ZNF562,ZNF66,3.439955817361455
582,ZFP90,GTF3A,3.3837918085971164
892,ARID5B,TCF7,3.3803130834532973
590,ZNF276,ELMSAN1,3.3803085715837726
414,ZBTB41,ZHX3,3.3661035315536916
175,VAX1,ZNF480,3.365867685501823
985,ZNF530,TFAM,3.36057798816583
958,NFRKB,ZNF329,3.335045955440491
38,HES6,ZBTB45,3.3184818339792823
29,HOXB7,ZBTB5,3.294765025073561
33,SP100,TCF4,3.288546285005379
333,MBD2,GTF3A,3.288094894453593
264,ZNF420,KLF8,3.280228748479388
708,ZNF280C,ZNF517,3.2758124061055898
233,ZNF768,RFX1,3.2698648520579883
1140,TULP4,ZNF267,3.2651701903090364
21,ID3,HIVEP1,3.252498982063015
507,PATZ1,ISX,3.2500321524471714
479,ZNF136,ZNF841,3.2390520131228793
1115,HOPX,DMTF1,3.236945479048919
1167,FOXP3,ZNF800,3.2355778830798294
1159,MEIS1,HOXC9,3.2317405729607134
519,ZNF396,ZNF184,3.2256734297250165
1005,GATA2,TSHZ3,3.2203666434670035
920,ETV3,JDP2,3.212229239457362
353,ZNF282,ZNF517,3.210623739224088
594,ZNF891,ZNF181,3.1908834684990373
609,ZNF148,SOX11,3.181725364983079
1037,CREB5,RORB,3.1727296000775977
1125,ZBED3,PPARD,3.1466303500756077
208,PBX3,ZNF746,3.122101215613374
1057,SON,ISL2,3.117501616240707
989,TRERF1,ZNF551,3.0985313585624876
636,ZNF785,MAX,3.087163135983625
513,ELK1,ZSCAN21,3.0812010974300876
148,ATF1,ZFPM1,3.0778907088336758
258,ZNF579,ZNF841,3.075400132008242
352,TFAP2E,ZNF275,3.0606496371793286
182,GTF3A,ISX,3.038046060525857
931,ZNF75D,ELK4,3.027771851549584
573,ZNF10,CREB3L2,3.0268155832759516
994,ZNF227,ZNF382,3.0133590460862383
558,ZNF556,ZNF841,3.0019105020033265
345,ATF4,ZNF587B,2.9986655432328355
289,MAFB,ZNF578,2.991918908723601
1087,POU3F2,IKZF5,2.987397572965223
602,ZNF691,ZNF532,2.9858285516712155
1045,TP73,ZNF700,2.975118844705985
33,SP100,ZNF484,2.9718623643817557
857,THAP10,KLF8,2.9621658519749317
870,POU2F3,ZNF546,2.9466215849418465
890,ZNF814,FOSL2,2.9413140757460723
1072,KLF8,TBX6,2.936642369473375
34,ATOH8,IKZF5,2.927948361263216
412,SP3,ZNF32,2.927003960913395
459,ZNF48,ZNF490,2.921698020624527
1105,ZBTB38,ZSCAN18,2.9201648547967873
1078,ZNF419,ZNF257,2.918519049218164
511,ISX,GPBP1,2.9168631183459617
476,CDIP1,ZNF93,2.907759940627954
60,SNAI1,SP140L,2.90683761976354
122,SIX2,NKX1-2,2.901353749232579
499,ZNF20,BHLHE40,2.8994735988472677
121,DEAF1,JUNB,2.8991036884901256
954,HOXB13,ZNF75A,2.8990986139548593
513,ZNF624,TFCP2L1,2.8979534584049085
316,TFDP2,ISX,2.89771673980674
315,LRRFIP2,HNF1B,2.8971117918421547
243,DLX2,AHRR,2.8937532032701068
448,ZNF569,GSC,2.893240654738474
1028,ZNF543,ZNF766,2.89160024519707
433,ZBTB12,KLF8,2.8901425535529586
657,ZKSCAN1,HIVEP3,2.884597216036302
181,GTF3A,ATOH1,2.882403756336415
1141,AKNA,PMS1,2.8791858751721673
1026,MECOM,MIER1,2.8771118371200317
111,ZNF680,ZNF275,2.874024430602369
728,FOXO6,FOXO1,2.8643023767340066
1089,SSRP1,E2F7,2.8626258345070297
306,ZNF444,KLF16,2.8556458729333416
415,ZNF865,SP140L,2.848991551130245
600,ZNF557,ZNF32,2.8383038124788897
474,ZBTB7A,ZNF700,2.837772303399208
353,ZNF282,HNF1B,2.836070695055312
171,ZNF292,YY2,2.8319143466366747
269,GLI2,ATOH1,2.8250439215853187
606,SMAD7,ZBED1,2.8241319550117256
332,PIAS4,DMRT2,2.8198366839843683
1130,BCLAF1,ZNF93,2.8197906150951693
826,ETV5,NFAT5,2.8187451243245816
772,ZNF529,VAX2,2.8108266269575846
221,ZNF354B,ZNF324,2.8093240840727307
846,SOX7,BCL11B,2.8089117141454576
222,ZIC5,GPBP1,2.8024128116353513
1093,ZFP41,NFIA,2.7953896813291705
504,ZNF446,ZNF75A,2.7913295893157546
473,CAMTA2,ZNF747,2.7855590839382414
969,ZNF180,ELK4,2.784905205442787
925,CBFB,ZFHX2,2.784621154289194
333,PIAS4,RORB,2.780805163652923
949,UBP1,ADNP2,2.7788987098145395
575,ZNF296,GTF2I,2.7762363984219154
384,TBX1,PAX9,2.7737895586191454
781,ZNF384,NR1H3,2.772439938858512
1020,FOXJ2,ZSCAN20,2.7710793727322267
198,HIC2,HIVEP3,2.7709325761815817
526,ZNF214,GATAD1,2.7697934290663064
303,ZNF497,TAL2,2.768974331944358
517,HMGXB4,ZBED1,2.7679317291069916
1060,ARID1B,ZNF852,2.7637821106525613
941,PRDM12,DMRT2,2.7637219339730796
887,SREBF1,CREBRF,2.758080436951679
346,ZNF483,ZNF586,2.7574740636183996
1031,ETV6,ZNF250,2.757011580448399
968,PPARD,SP140L,2.7561015598346787
1045,TP73,ZBTB44,2.754959804776042
902,POU5F1B,JUNB,2.753017837274859
394,ZNF211,ZNF287,2.7514267381335533
208,ZBTB18,FOS,2.7490811817722545
511,ZNF525,TFAM,2.7483970404494302
384,ZNF570,GPBP1,2.7466447966838072
84,ZNF540,ZNF700,2.7440593883514994
43,KLF7,OLIG2,2.742605695244924
961,BAZ2A,ZFP37,2.740715403179742
608,ZFP30,NR2F1,2.7403933248964605
782,FOXK1,FOXO1,2.7397435921009903
34,ATOH8,ZNF808,2.7392174372894593
6,ZNF626,RARA,2.7334289740185995
324,PITX1,ARID4A,2.7331715569961683
822,ZNF280B,VAX2,2.730350775274482
1064,ZNF841,ZNF324,2.727848305628898
162,FOSB,ZNF32,2.726463317435009
607,ZFP30,MAF1,2.7245006172785367
467,ZNF845,ZNF341,2.7240466698621155
188,ZNF182,ZNF737,2.723906088619812
304,HSF1,LCOR,2.7210431969224422
521,ZNF93,NFATC2,2.7184929938091225
12,ZNF385B,ZNF75A,2.7119403308773804
1008,RREB1,HOXA5,2.7102411289442583
1006,PRDM10,ZNF852,2.708782846650576
343,CNBP,NR4A2,2.7050612073451066
277,ZNF571,ZNF841,2.7038821104047943
973,ZNF443,CEBPA,2.70329888564033
714,ZNF213,CREBRF,2.7031946362563413
903,IKZF2,ZNF747,2.7023697199981864
1016,LHX2,ZNF18,2.7016787278299206
1105,KMT2C,RORB,2.70151119184541
136,LCORL,KMT2C,2.7014867088622796
1173,FOXM1,ZNF280B,2.6946123151416166
270,ZSCAN31,FOS,2.6943744662549873
257,THAP4,ADNP2,2.6933346206328057
854,ZNF577,ZSCAN20,2.6905672685613213
1124,GTF2IRD2,ZNF700,2.689452606523304
1073,ZNF45,ZNF3,2.6859391139025437
606,SMAD7,E2F7,2.684841646578043
515,GZF1,ZNF502,2.6811031005084796
775,ZBED4,TFB1M,2.6783644875723036
582,ZFP90,CEBPD,2.675454952095574
361,ZNF883,RLF,2.675188046058134
276,ZNF837,GRHL1,2.669772317148699
922,ZNF300,ZNF408,2.667317898241865
557,ZNF556,ZFP37,2.6672961537129662
461,STAT1,LCOR,2.6668944373036862
1044,VDR,ZBTB46,2.662790015772415
350,ARID3A,ZNF75A,2.6579727182929185
1158,AR,ZNF852,2.654878068002232
670,ARID4A,NR1H3,2.6533009686747366
370,ZNF816,FOXO1,2.6530201788202348
161,TBX19,NR4A2,2.65123048931894
452,ZNF488,CEBPA,2.6495032378160905
222,ZNF688,ZNF747,2.648592562570225
387,HLX,KLF16,2.648023014050778
368,ZNF433,ZNF610,2.64703080511512
541,TSC22D4,VAX2,2.6465304814105246
677,ZBTB16,SLC2A4RG,2.6430198252065042
490,E2F6,ZBTB3,2.6418460069480956
669,ZNF286A,GPBP1,2.6384160325817274
801,TERF2,ZNF101,2.6383287439797303
1004,POU2F1,ZSCAN20,2.6370249799169505
118,ZNF25,HIVEP3,2.6365515888883038
1188,NR2F1,ZNF341,2.636443079124647
557,ZNF146,ZNF160,2.6356684939731605
113,MEF2C,ZBED1,2.63417358959373
792,ZNF429,ATOH1,2.6337857788877854
230,JUN,ZFHX2,2.6331704906507576
544,RLF,ZNF3,2.6324889255358834
662,TFEB,SP140L,2.6302389398174717
882,REL,ZNF93,2.629473534950443
138,GCFC2,TFCP2L1,2.6291600241369917
42,TSHZ2,GLIS3,2.6276777931854762
237,ZBTB42,ZNF268,2.626701456433357
269,ZNF558,ZNF708,2.625413015062322
1089,RFX3,GRHL2,2.6232418438361558
942,ZNF674,DMRT2,2.621103658235314
866,ZNF605,NR3C1,2.6175676004712702
837,FOXA1,ZFP14,2.616405334890026
855,ZBTB40,NKX3-1,2.615624204608872
104,TBX6,FOS,2.615330220789633
735,MSX1,ZNF18,2.6146890013955866
733,ZBTB44,ZNF808,2.6134572031136063
857,THAP10,YY2,2.6133256315040607
1163,PURA,ARID1A,2.6110271078223954
466,L3MBTL1,JAZF1,2.6102801669431814
1046,TP53,JUNB,2.6077007516864397
665,ZNF585A,CENPT,2.6047781755379096
815,ZNF687,ZNF32,2.6040178602795687
259,ZNF394,HOXC6,2.601510946678264
394,ZBTB17,FOXO1,2.6002250772617126
13,ATOH1,ZNF275,2.59914781725228
309,NKX6-1,CREBRF,2.596677981841244
428,ZNF584,ZNF324,2.5959121241238785
438,ZNF285,CCDC88A,2.5955824185869254
325,ZNF485,KLF16,2.5953273560711705
946,RBPJ,VAX2,2.5938645248304546
298,ZNF92,NR1H3,2.5908214364709323
223,ZIC5,NFIA,2.5876161963020192
698,NFE2L1,RARB,2.5859097763139025
96,ZNF117,ZNF610,2.585575881697478
992,ZNF550,ZNF718,2.583428586288796
1153,ATF5,ZBED1,2.581753535160814
645,NFATC3,RCOR1,2.5790883771782096
246,RFXANK,TAL2,2.5777693398297616
611,ARNTL2,ZNF623,2.5772255754215667
293,SETDB2,ZNF93,2.577147011604931
1078,ZNF419,YBX3,2.576950293332556
481,ZNF274,STAT6,2.57683712542346
570,HOXA6,HOXB9,2.576352403742995
484,FOXN3,NFATC2,2.5756057601611984
926,ZNF780B,GLIS3,2.575387005101084
1144,ZBED6,ZNF48,2.574979638391091
318,ZBTB8A,ZNF714,2.574698731878852
460,ZNF324B,ZNF268,2.5744300974503385
664,ZNF143,BAZ2A,2.573226334657326
789,ZBED1,ETS2,2.5729638484912956
855,ZNF577,GRHL2,2.571039331143816
282,NR2F6,ZNF829,2.570051634094053
1036,CREB5,DMRT2,2.568943695436431
674,ZNF197,CEBPA,2.568365430097702
498,HIVEP3,EHF,2.5669016756873053
410,ZNF641,ARID4A,2.566372363639532
979,ZNF490,NR3C1,2.565478005221893
684,ZNF473,NKX3-1,2.5635732829371563
170,PHB,ZNF266,2.563367391378438
454,ZBTB7B,FOS,2.5632851493959183
889,ELK4,ARID5A,2.562651571084109
973,ZNF443,MYRF,2.5625161467848616
571,ZNF699,SRF,2.5622601846057216
104,MAFG,ZNF808,2.561449404771645
804,LMX1B,KLF7,2.5612529459249127
961,BAZ2A,NR4A2,2.5610270446217
690,ZGPAT,ZNF3,2.5587954623347784
381,HOXA5,TFAM,2.554335388210712
378,ZNF195,RARG,2.5539975941958772
674,ZNF197,ALX4,2.553897165110815
486,CARF,ZNF567,2.551438317094845
1005,GATA2,ZNF711,2.549304735180809
420,SMAD3,KLF13,2.548640978098982
1144,ZBED6,MECOM,2.547875560466694
618,ZNF155,CREBRF,2.5450040900026023
713,NFYA,ZNF324,2.5442534728538124
122,DEAF1,ZNF488,2.5440182911573546
218,NFYB,ZNF18,2.543576892310818
858,ZNF580,YY2,2.5434496989611817
573,ZNF774,ZNF747,2.543015302143393
819,ZNF502,ZSCAN23,2.540578346921766
660,E2F3,NR1H3,2.5392640898851604
852,ZSCAN29,ZNF708,2.5386213661430563
666,CENPT,ZNF737,2.5379322014863552
841,ZBTB3,NFIA,2.5361226339956087
620,PBX2,CEBPD,2.536041038075363
347,ZNF302,ZFP14,2.5349628029265037
1053,XBP1,RARB,2.5344501717652563
193,ZNF775,ZNF610,2.5341229216516985
526,ZNF214,BACH1,2.534072889854804
341,ZNF280D,ZNF367,2.532906161644479
307,TCF25,ZNF341,2.5325567023992512
98,ZNF737,IRX4,2.528258756458049
383,TBX1,FOXO1,2.528083863704081
643,ZSCAN18,ZNF408,2.526858931564633
88,KLF6,LCOR,2.526581217407407
884,TSC22D2,JAZF1,2.5252626980598394
855,ZBTB40,STAT6,2.5225422391605226
758,ZFPM1,ZFP82,2.5211014311018674
682,HOMEZ,GRHL2,2.519875648454053
124,HES1,ZBTB45,2.5175497593171268
828,ATMIN,CEBPA,2.517254958038756
1046,TP53,KLF6,2.5170368711918063
394,ZNF211,ZNF280B,2.5163949656506013
44,EBF4,ZNF891,2.5158798248631444
672,ZNF546,TSHZ2,2.5149865777617793
415,ZFP14,ZNF419,2.5135101028689535
1088,SSRP1,ZNF718,2.5127744565912424
286,HMGXB3,ZHX2,2.5116278858767154
710,GMEB2,HMGB2,2.510881088265063
777,SMARCA1,ZNF808,2.51047656161669
718,ZNF414,HOXB9,2.510074099414412
794,ZNF268,NR4A2,2.510062606433728
602,ZNF691,ZNF512,2.5094311257769957
900,RBAK,ZNF3,2.5078754326343167
891,ZNF814,E2F7,2.505712721237548
897,ZNF519,BATF3,2.5034770349993614
81,TSC22D1,SMAD1,2.502913710102692
708,HEY1,ZNF671,2.5003203813907215
195,MYNN,FOXK1,2.499053281365672
910,ZNF852,ZNF48,2.4973605282973397
506,ZNF587,ZFP37,2.49621908252501
75,ELF5,ZNF266,2.496136260642532
359,ADNP2,ZNF823,2.4937450017617864
718,ZNF507,ZNF488,2.493392327163323
266,MAFK,TGIF1,2.4929573480019247
266,NFIL3,YY2,2.492835049951854
688,GATA4,ZNF268,2.492566178482697
169,ZBTB22,TEF,2.492437983990908
651,ZNF217,KLF13,2.4920950556071024
928,MXD3,ZBTB46,2.4916142663330367
609,ZNF148,HOXC6,2.4914835457185442
1152,CREB3L2,TULP3,2.4914740674453966
235,ZNF627,KLF7,2.4908193591024292
655,MBD1,NFATC2,2.489883904791183
700,PLAG1,JUNB,2.489496329510218
56,NFKB2,NR1H3,2.488732734496448
338,ZNF432,ZNF736,2.488419502085865
352,TFAP2E,BAZ2A,2.486867992073987
518,ZNF71,BATF3,2.4842424865958614
734,ZNF823,BACH1,2.483644839346694
33,SP100,NKX3-2,2.483479574601538
387,ZNF791,CAPN15,2.4833705024265216
810,ZNF518B,ZHX2,2.4832156121897584
565,ZNF689,ZNF341,2.4821588240215067
878,ZNF585B,ZSCAN21,2.480653876752912
51,ZNF219,ATOH1,2.479657028597502
399,ZNF350,ZSCAN2,2.4795665691437265
1082,SETBP1,SP9,2.477437119193053
151,ZSCAN21,LCOR,2.4763022511810004
646,ZNF345,FIZ1,2.476111917337479
258,ZNF579,TFAM,2.476009937150028
321,MAF1,MEF2A,2.4746948533194995
129,PAX2,TGIF2,2.474623882846309
890,ELK4,ZNF714,2.471947013743765
929,MXD1,NKX6-1,2.470968216431424
826,ZNF100,DMRT1,2.470412012390199
209,ZBTB18,MTA3,2.4703267256650117
625,PIAS2,E2F4,2.4702763993040633
463,ZNF140,GRHL2,2.4697301230498168
34,ATOH8,ZNF302,2.46967607210471
418,ZNF668,EN2,2.4694825585126634
122,SIX2,TSC22D1,2.469086720581749
317,EBF3,ZNF829,2.468781345204736
384,TBX1,ZFX,2.467807148850466
612,BAZ2B,ZNF610,2.467690023428657
690,ZGPAT,KLF6,2.466947837455089
581,RELA,NR3C1,2.466016320391941
170,ZNF292,RARG,2.464946431566113
775,ZBED4,TSHZ2,2.46493834486432
144,THYN1,ESRRA,2.463640813748072
146,POU4F1,GRHL1,2.4633733706871963
551,ZNF696,NKX3-1,2.462870952311327
1180,ZNF367,CCDC88A,2.462634825861217
468,ZNF845,ZHX2,2.4616464909477687
700,ZNF440,HMGB2,2.4609145546085887
692,LYAR,NR4A2,2.4601123605656965
711,ZNF526,ZNF519,2.460081984425732
525,HKR1,ZNF512,2.459493446374032
1062,HLF,ZNF852,2.4593879569714727
242,ZNF415,EBF3,2.4543669695646457
1044,VDR,ZNF621,2.454086005330537
766,ZNF416,ZNF711,2.4535983030697586
558,WIZ,CEBPD,2.4529804903139696
