,TF,target,importance
394,THAP5,FOXJ2,3.240507038801683
362,KLF13,ZNF629,3.1997232104957503
597,ZNF304,ZNF736,3.087580084507647
5,HDX,ZNF721,3.0569843278400035
819,CCDC88A,ZSCAN21,3.033876094365954
983,KHSRP,ZNF142,3.031846088701701
235,ZNF627,ZNF512B,3.025990647251872
11,MAFF,ZHX2,2.9819890907864623
55,ZNF165,ZBTB17,2.9557223991302584
810,SOHLH2,NKX3-2,2.8363260437596907
1094,PBRM1,ZNF606,2.8262354029193677
740,TMF1,CARHSP1,2.799652768529094
109,THAP3,ZNF283,2.789234108616821
831,ZNF527,ZNF787,2.7882262517293883
1126,ARID2,FOXD4L1,2.784431552625053
1120,NR5A2,ZNF320,2.766210480957775
955,ZNF512,ZNF75D,2.762451237548276
121,ZNF706,ZBTB17,2.7505121495686193
1013,ZNF107,MLXIPL,2.748647405849005
753,MNX1,KLF16,2.743970528291888
902,ZBTB49,ZBTB39,2.743437296028058
1071,ZNF45,ZBTB17,2.726541570501813
806,ZNF625,ZBTB17,2.70413101415598
659,E2F3,CREB3L2,2.690496144802076
258,ZNF394,THAP6,2.6702014530255047
140,ETS2,HMX3,2.6696675876465132
91,ZNF516,NR4A2,2.6549835427614026
851,MAX,ZBTB17,2.6471423300724455
623,PIAS2,THAP3,2.6456552381165426
553,REPIN1,ZNF281,2.6327329260128796
816,ZNF789,ZNF24,2.6315886937936668
1078,NFIC,L3MBTL3,2.6295908291309935
1139,AKNA,ZNF558,2.6022640907336645
208,ZBTB18,ZNF141,2.601514000532242
314,TFDP2,ZBTB17,2.5937496996781984
1042,VDR,ZBTB42,2.570420543647854
762,ZNF260,ZNF622,2.568352828646859
91,ZNF516,OVOL1,2.5607658307513574
234,ZNF28,ZNF286A,2.557356667833481
62,HOXB6,PIAS2,2.5566282067848176
358,MLXIPL,ZFP2,2.5485068184528457
48,ZNF524,ZBTB17,2.5475727113673416
874,SOX6,ZBTB17,2.546482397944727
1032,FOXP4,ZNF544,2.5296400024060155
104,MAFG,HSF2,2.5236846987094044
1150,CREB3L2,TEF,2.518652608857678
506,ZNF667,ARX,2.5184744513624553
72,CEBPD,ZNF697,2.5177385169817006
419,SMAD3,ZNF573,2.5133916407543957
529,NKRF,RBCK1,2.4869051145083603
620,HINFP,ELF5,2.480838164432261
357,ADNP2,ZNF449,2.4745709750906864
466,ZNF845,ZNF506,2.466208101454972
1115,NCOR1,IKZF5,2.463299823148757
216,ZNF821,TFDP1,2.4620388651238136
947,ZNF780A,TRERF1,2.4524728027496403
831,GABPA,SMAD1,2.4493170725604774
58,HOXA1,ZNF562,2.4362450453690814
1110,HNF1B,PPARA,2.4250870008937553
801,MYSM1,BHLHA15,2.4082567280189355
622,ARID4B,ZNF117,2.4075322158154413
100,THAP7,YEATS4,2.403697817187217
387,ZNF7,ZNF511,2.3942289444016653
1029,ETV6,ARNTL,2.3866502541047434
1169,TCF19,ZBTB17,2.385856620773295
229,JUN,ZNF35,2.3733507052442717
569,ZNF699,KLF13,2.3716920191005197
394,THAP5,THAP1,2.3686923388062326
1005,ZNF425,ZNF711,2.365111002366284
259,ZNF461,HOXA5,2.358773338704074
594,MLLT10,ZNF506,2.3560665357477952
1171,FOXM1,ZFP28,2.3522567059380455
500,ATF2,ZNF235,2.3497799790142095
1097,TBX3,RLF,2.34537311531725
166,OLIG2,ZNF217,2.3439200007816763
649,ZNF217,ZNF775,2.3386986518427206
753,MNX1,ARNTL,2.3367392980264903
635,CDC5L,ATOH1,2.3354122528444345
595,ZBTB2,NCOR2,2.3342256968623913
871,ZXDB,ERF,2.3285199306461077
501,ZNF446,ZNF783,2.327632366609994
1124,TRPS1,SIX5,2.3265287770796377
1102,KMT2C,ZNF79,2.3156223005045735
688,ZGPAT,ELF5,2.3028992976257308
368,HSF4,HIVEP2,2.302364274279555
727,FOXO6,JARID2,2.3008185823749603
387,ZNF7,RARG,2.29554328005794
126,ID2,RARG,2.2772164325190185
399,ZNF700,GATAD2B,2.277122781875504
845,TFAP4,MBD4,2.274887746285772
1067,ZNF528,BNC2,2.2624325322359002
570,ZNF10,HOXC13,2.2619690742916574
923,CBFB,CCDC88A,2.2597113633256347
592,ZNF891,DLX1,2.2555221426570586
858,KLF2,ZNF883,2.240910062664819
1070,KLF8,ZKSCAN5,2.2407304478616537
372,ZNF644,OVOL1,2.238845824930388
927,MXD3,IRX5,2.230238887373428
669,MECP2,IKZF3,2.2274076492842747
424,IRF7,ERF,2.2156322685614716
232,ZNF768,ZBTB10,2.212601836602835
544,ZFP37,FOXP3,2.20529836944067
1102,KMT2C,ZFP14,2.196316660210405
985,ZNF654,RFX5,2.195845241145075
662,ZNF585A,ZNF85,2.1898169228133395
692,ZBTB25,SREBF1,2.189365924337642
1105,RORB,CREBZF,2.187962169600633
881,REL,MYBL1,2.1841328167426663
364,ZFP62,ZNF79,2.181537333036641
53,RARG,MSX2,2.17884122133957
1083,ZNF850,TOX2,2.17482784367224
54,HOXC13,PBX3,2.173018395421217
545,ATF7,ZNF764,2.172019252204798
560,SIX5,NCOR2,2.169853851786876
490,ZNF121,AFF1,2.1578671926856323
682,ZNF473,CREB3L1,2.1555589196758627
561,MSX2,ZNF525,2.1398813573134845
1092,NCOR2,ZNF488,2.1390849573096746
432,ZNF552,PIAS4,2.1379715955640135
669,ARID4A,PDX1,2.1370151507648525
902,ZBTB49,ZNF79,2.135924232645483
716,ZNF414,TP53,2.1344715842621644
399,ZNF700,ARNTL,2.132684801286108
556,WIZ,RORA,2.1301631429860457
958,ZNF629,RORA,2.1279432762126476
1028,ZMIZ1,RORB,2.1276978680598524
797,TADA2B,REST,2.1257718806350563
316,JAZF1,TOX2,2.1240971588891386
266,ERF,DEAF1,2.1176808541459797
399,ZNF700,ZNF121,2.1130481978097793
873,ZNF215,ARNTL,2.1114284324256936
994,UBTF,HMGB1,2.101171569619754
207,ZBTB18,POU4F1,2.1000137028736447
459,ZNF239,ZNF181,2.099641566946452
521,ZNF592,ZNF525,2.097297718302944
96,ZNF117,CDC5L,2.0972741023699046
553,REPIN1,E2F1,2.0965637069465397
15,ID1,PRDM12,2.0956050266693884
190,ZSCAN9,ZNF275,2.0938968775529765
330,MTA1,ARNTL,2.0909752489178235
1076,ZNF419,ZNF790,2.086611793374831
126,ZNF576,ZNF462,2.085533417567963
1021,CEBPG,ZNF646,2.077342898976398
1118,TSC22D3,ZIC2,2.0733929476289163
535,BLZF1,BATF3,2.070072315782037
510,ISX,ARNTL,2.069411006620422
1151,ATF5,SMAD2,2.0692258057548307
91,ZNF516,SPI1,2.0687456331587883
794,KIAA1549,ZFP69B,2.0647441033161464
594,MLLT10,ZNF620,2.0625989936310654
499,ZXDA,POU5F1B,2.0624338328742304
645,MIER3,ZNF669,2.061564173744665
240,ZNF251,MTF1,2.0578846175487864
476,ONECUT2,ARNTL,2.0507764510361848
982,SP1,NFIA,2.0482379421082526
116,E2F5,E2F6,2.0465731572554438
905,ZNF777,HIF1A,2.0458494054791267
532,SALL2,STAT3,2.044257738812048
613,ZNF646,ZFAT,2.039490939357298
258,ZNF394,L3MBTL1,2.0360937053747197
803,ZNF749,KLF15,2.034661103974669
179,ZNF226,MAFA,2.034265640554145
148,ALX4,ZNF230,2.0305670658361206
1122,GTF2IRD2,YY2,2.0299499616768393
306,TCF25,TCF19,2.0266128131313597
415,ZNF668,SOX8,2.025107315116642
716,ZNF507,ZNF287,2.0231592866270693
1123,ZBED3,SHOX2,2.021879807779477
492,CAPN15,ZNF568,2.0201410038067933
686,MNT,ZNF420,2.011196542847708
452,ZNF653,ARNTL,2.0099591844907434
1118,TSC22D3,LRRFIP2,2.0067338328315243
1119,GTF2IRD2B,CREB3L1,2.00413755403813
863,ZNF605,ZNF821,2.002502406258109
226,NFATC2,ZNF436,2.000526780146679
559,SIX5,ZNF672,1.9998332349552013
895,ZNF519,RFXANK,1.9977049720948006
627,MBD4,MAFA,1.9967968685504496
73,GLI1,ZNF441,1.9904973683224692
1071,KLF8,HOXA10,1.9885084391556014
951,NFX1,NCOR2,1.9884599950685053
136,SUB1,TULP4,1.987003626771158
732,ZNF534,MYT1,1.985372563378589
736,SHOX2,ARNT2,1.9819795533054307
601,AEBP2,ZNF525,1.979568293296592
851,MAX,CREBL2,1.9782991159949346
818,ZNF76,ARNTL,1.9774183075082477
1001,CASZ1,ELK1,1.972226217251059
496,HIVEP3,SOX13,1.9695077321156214
496,HIVEP3,ZNF142,1.9687062672891082
497,ZNF708,ZBTB44,1.9682010861457684
601,AEBP2,ZNF181,1.9677156156667635
1103,ZBTB38,ARNTL,1.9663151201743743
1118,TSC22D3,IRX5,1.9655528307556798
404,OVOL1,ID2,1.9648045873046736
566,KLF3,PRDM2,1.9640932206930255
683,ZSCAN32,ZNF121,1.9640263303386676
391,ZNF211,ZNF205,1.962709445350112
415,SIX4,SMAD2,1.958778458709345
94,FOXO1,ZNF780A,1.9578850513206694
1113,HOPX,ZNF79,1.955952232661407
926,MXD3,TOX2,1.9538797929421716
372,ZNF644,RFX5,1.951788463703507
934,ZHX2,ZNF792,1.9497907684399498
687,MNT,BARX1,1.9488668796435131
913,ZNF596,TULP4,1.947462254598412
110,TEAD4,ZNF232,1.9423994074900701
17,FOXD3,FOXO4,1.9404833825991297
343,ZNF483,HES7,1.9364892563917344
663,ZNF585A,DMTF1,1.933990103086605
788,ZBED1,RORB,1.9327015855890948
405,OVOL1,ZFHX3,1.931761141810704
42,TSHZ2,ZNF286A,1.931619327924796
492,CAPN15,ZKSCAN5,1.9313282360617237
184,FOXN2,ZNF436,1.9298498478241524
759,ZNF610,ZNF667,1.9292303116821328
668,ARID4A,ZNF181,1.9285580749149958
106,KLF15,ZNF675,1.926408276100651
175,ZNF232,ID2,1.9257049760173113
852,MAX,PRDM2,1.9250077656012312
53,RARG,ZNF121,1.923432067017226
735,SHOX2,SMAD2,1.919798767381024
89,HOXB5,ZNF287,1.9192024541633446
115,CPEB1,GATA4,1.9171321351348392
780,FOXK1,MAFA,1.9167987006348524
239,ZNF23,CREB1,1.9149501314252175
634,OVOL2,LRRFIP2,1.9142911995793517
1052,SP9,CAMTA1,1.912533699917314
658,E2F3,IRX4,1.9114237501039826
837,SNAPC4,CREB3L1,1.9113083260967465
946,ZNF780A,ZNF792,1.910989932147991
1097,TBX3,THAP9,1.9107965461694172
188,ZNF665,E2F5,1.9100776947560367
295,ZBTB4,TADA2A,1.9098973942503013
237,GATAD1,NFIX,1.909313014188327
833,ZNF623,ZNF66,1.9084435380748177
1097,TBX3,ZNF207,1.907374255488602
346,ZNF565,ZNF205,1.9059095442636564
643,ZNF345,ZKSCAN4,1.90348840969647
1092,NCOR2,ZNF525,1.9028378781266766
251,ZNF496,ZNF79,1.902782690715312
113,MEF2C,BARX1,1.9020967779290983
616,ZNF155,ZNF397,1.9002397881576114
584,ZNF397,TULP4,1.8993587102105733
1131,NCOA1,TOX2,1.8986383744569266
1110,HNF1B,FOXJ2,1.8984731511025925
1050,LCOR,HES7,1.897953120189539
187,HESX1,HNF1B,1.8976010115681268
1109,ZNF649,ZNF626,1.8965052731259067
107,STAT6,SOX4,1.8958954322652437
789,HMG20A,CREBL2,1.8954738106797893
73,GLI1,NFATC2,1.895275490203964
954,ZNF264,LRRFIP2,1.8897769633430541
753,MNX1,SOX13,1.8886570871208819
583,ZNF222,MAX,1.8884192149270518
222,NR1H2,ID2,1.887721746918003
86,ZNF74,ZBTB20,1.8877146860123637
413,ZFP14,ZNF502,1.8863004342428102
964,ZNF347,DMTF1,1.8862589245352765
486,THAP1,FOXN4,1.8860019543078503
860,RCOR3,HINFP,1.885160715521782
1043,TP73,ZNF562,1.8851327226668881
129,PAX2,ZNF740,1.8846291642836581
214,TFB1M,ZNF436,1.8834562518531974
511,ZNF624,SMAD2,1.8815947719101407
468,ZNF436,ARNTL,1.879185863060858
739,ZNF764,HMGB3,1.878231426649158
485,THAP1,MLXIPL,1.876937133665273
221,ZIC5,TOX2,1.875530722816361
722,ZFP91,ELK4,1.873932929255916
277,NRL,CREB3L1,1.8732748683514928
308,NKX6-1,ZNF391,1.8723830436815705
1071,ZNF45,NKX6-1,1.871874132822959
666,ZNF273,TCFL5,1.870810767649972
1087,RFX3,ARNT2,1.8698545485360967
680,MLXIP,ZNF79,1.867609235650112
605,SP4,NR2C1,1.8659171732473196
465,L3MBTL1,CENPA,1.8626964999961482
247,ZNF639,ZNF397,1.8615481409385275
949,PIAS3,ZNF496,1.8604923101764235
945,ZNF431,ZNF532,1.8600652265132016
546,ETV2,ZNF525,1.8599810741326657
662,ZNF585A,ZNF121,1.859736667328836
22,SP140L,ZNF148,1.859642559575448
675,ZNF770,MYT1,1.8584220567215017
866,ADNP,ZBTB14,1.8576660649697194
242,ZNF441,ZNF623,1.8569795898862835
316,ZBTB8A,GABPA,1.8569175224142684
1123,ZBED3,RFX7,1.855179649608018
966,ZNF682,HOXA10,1.8535426404336415
45,HIC1,ZNF205,1.8529907732764257
932,TSHZ3,FOXO6,1.8526195363903375
330,PIAS4,ZSCAN21,1.8517531949278108
958,ZNF629,ZNF205,1.8513747920381616
92,ZNF138,MESP1,1.8507757381650285
657,ZNF518A,ZBTB20,1.8501491637607184
96,ZNF117,TP53,1.8500332586969381
4,NKX1-2,TULP4,1.8487996301131344
744,ZNF880,DMTF1,1.8479484267352932
685,GATA4,TBX19,1.8477021988524984
207,PBX3,ZNF398,1.8474119517131582
674,ZNF770,PIAS4,1.8454628805392774
617,ZNF155,ZNF225,1.8449475894886154
1178,ZNF367,BARX1,1.8444492188040378
446,ZNF286B,PRDM2,1.843793046408258
221,ZNF688,ZNF436,1.8425913711751445
426,IRF6,ZNF783,1.8425688692492
573,ZNF296,GABPB2,1.8423350955002329
22,SP140L,ZNF92,1.8420090840782357
344,ZNF483,ZNF286A,1.8418160627678257
952,ZBTB21,ZNF79,1.8414728902296902
501,ZNF628,AKNA,1.841017255632098
567,ZNF35,HMGB3,1.8408546212588406
955,ZNF512,REPIN1,1.8402052221739826
510,ZNF624,ZNF211,1.8385568721368877
398,ZNF350,AFF4,1.8377693664696844
933,ELMSAN1,L3MBTL3,1.8372621579653687
256,THAP4,GABPB1,1.8363065295688203
22,SP140L,ESRRG,1.835147233591615
1017,ZBTB43,ID2,1.8351148748293937
494,RXRB,TCF7L2,1.8350310441106084
946,ZNF780A,TBX19,1.834807248127463
569,ZFP36L1,CREB1,1.8346464100727162
1155,CENPA,ZNF516,1.8341455878314983
656,ZNF518A,ZNF496,1.8336609813518954
1150,CREB3L2,CREM,1.8329822261492084
484,ZNF284,SP4,1.8312910931914808
497,ZNF20,THAP1,1.8300927342369215
295,ZBTB4,FOXK2,1.8293612154547354
232,ZNF768,FOXK1,1.8292731419938475
1106,NRF1,ZNF284,1.8290474666211767
810,ZBTB11,FOXJ2,1.8282267844151316
385,HLX,TOX2,1.8280843798837074
753,GLIS2,CASZ1,1.8278797932851902
215,SOX8,TCF3,1.827679549352324
1082,ZNF326,RFX7,1.8268611127411354
902,IKZF2,NFXL1,1.8266604151701333
839,CREB3L4,TEAD4,1.8245358618892729
999,RFX1,ZNF397,1.8244948256319098
569,ZNF699,ZNF484,1.8241214275887345
983,ZNF530,TCFL5,1.8240859767811295
935,ZHX2,ZBTB43,1.824074987007715
90,MITF,ARNTL,1.8236204398541744
1036,ZNF718,ZNF644,1.8232517185189918
641,ZSCAN18,ZNF121,1.8227279076489906
211,GPBP1,ZNF517,1.82268565612156
832,ZNF623,RELA,1.822127598062104
798,HOXA7,ZNF91,1.8219359202038796
1082,ZNF326,ZNF626,1.820036588589569
532,ZFAT,ZSCAN21,1.8189732475234321
716,ZNF507,SMAD2,1.8186582913593978
627,ZNF449,ETV3,1.8180993793995257
606,ZNF547,HSF4,1.816983365966738
832,ZNF623,MIER1,1.8163125946561522
96,ZNF117,ZNF281,1.8162901967586385
676,ZBTB5,GLI2,1.8157506990991077
1055,SON,ZNF525,1.8156343194199107
788,ZBED1,ZSCAN30,1.8153069649806401
1146,ETS1,SP110,1.815004113268484
1074,MEF2A,MAFA,1.8145580868854494
582,ZNF701,RFX7,1.813318730094907
327,CREBZF,TP53,1.8132175968488675
594,ZBTB2,RLF,1.813136812826812
588,ZNF276,ZBED3,1.8129725880357341
85,CREBRF,TULP4,1.8120085174738831
1031,HMGB2,ZNF205,1.8117857878024144
932,TSHZ3,ZNF792,1.8117052055895675
1137,HMGB3,DMTF1,1.8104234512245483
956,NFRKB,MNX1,1.8095962788144633
627,ZNF449,TP53,1.8085463462098401
485,CARF,ZNF786,1.8079306456373097
662,ZNF143,AKNA,1.8078079590208451
598,ZNF557,ZNF79,1.8075374514407203
804,SMARCAL1,IRX4,1.806529356368233
827,ZNF189,ZNF133,1.8064863882091293
698,PLAG1,ZIC5,1.8060477710449125
59,SAMD11,ZNF286A,1.8051639231187468
179,AHRR,E2F4,1.8043176151238356
67,RUNX2,REPIN1,1.8035851382527526
493,ZNF746,GABPB2,1.8032563153957706
669,MECP2,ZNF737,1.802510826982728
954,PLAGL2,ZNF462,1.802303541089719
1148,ZNF726,ZNF329,1.802179413886186
520,ZNF93,STAT2,1.8008343586069786
476,ZNF136,HES4,1.7996104757594513
641,ZSCAN18,MAFA,1.7989467494059181
850,RXRA,ZNF180,1.7987125097743313
967,ZNF180,ZNF707,1.798274486982971
165,TGIF1,ZNF682,1.7981669825765059
622,ARID4B,THAP9,1.7976382479139328
177,RORA,MTA1,1.7967521612677635
366,ZFP28,ZNF595,1.7967455793380955
965,ZNF682,KLF13,1.796253925146671
971,ZNF443,ZNF821,1.796145369775113
20,ATF3,ZNF436,1.7945783284616805
218,MAZ,SREBF2,1.7943576735693654
1084,MIS18BP1,MAFA,1.7933324746403154
134,HOXC12,FOXH1,1.7930470125782325
806,ZNF625,MAF,1.792726850264013
519,ZNF93,TOX2,1.7917055007240212
392,ZNF211,TCF3,1.7913087263202125
1157,MEIS1,ZNF496,1.7911006774564884
549,ZNF696,NCOR2,1.7908991923334925
170,ZNF292,ZNF347,1.7903487621139684
640,ZNF575,BHLHE41,1.7894268137728668
265,NFIL3,ZNF397,1.7890046790457872
794,AFF4,TULP4,1.7883053702488814
1148,ZNF726,HNF1B,1.7881235322605826
777,ZNF697,FOXK1,1.7878745417844115
1181,E2F8,BHLHE41,1.7862177596173638
131,ZNF771,ZNF404,1.7857809340985278
549,ZNF696,RELA,1.784896086425437
1168,MYB,HOXC13,1.7835386151769255
775,SMARCA1,ZNF609,1.7834164855582608
532,ZFAT,CREBL2,1.7833876855466917
563,ZNF689,L3MBTL3,1.7831899658595651
265,MAFK,ZSCAN21,1.7827756798977172
563,ZNF720,SMAD2,1.7824669913613411
530,ZNF784,XPA,1.7815038167576105
1069,ZFX,ZNF182,1.7812756752801282
252,ZNF77,NR4A2,1.781012886399615
531,SALL2,PIAS4,1.7807479489527207
377,ZNF195,ZNF121,1.7803851233807653
