,TF,target,importance
490,E2F6,ZNF507,4.446683383278796
1187,LHX9,SMAD3,4.444236930173166
52,ZNF219,YBX1,4.341294620221652
433,ZBTB12,FOXM1,4.271083306394471
996,UBTF,ZNF446,4.206904386563279
947,ZNF431,ZNF577,4.110886161462423
701,ZBTB26,AFF3,4.100605740968594
1178,ASCL5,ZNF286A,4.037995896235446
337,ZNF263,ZNF281,3.86967699525722
1102,SPI1,NFATC1,3.7826360501944603
165,TGIF1,MAFA,3.7752912307611837
1090,ZNF782,ZNF322,3.753823781224433
627,RARA,ZNF322,3.753044858922742
571,ZNF699,ZNF57,3.68569253993445
588,ZNF236,ZNF169,3.6846910726395157
580,RELA,ZNF44,3.66310380845208
230,JUN,ZBTB17,3.6454275746134677
278,ZNF133,HEY1,3.6252763832529595
276,ZNF837,ZNF322,3.6088872375759125
793,ZNF480,ZNF322,3.6017472872827136
444,OSR2,MLXIPL,3.5685459149696404
1045,TP73,MAFG,3.564630405866472
935,ELMSAN1,ZNF322,3.5388158429709824
252,ZNF496,HKR1,3.528742187973668
203,IRF5,NR3C1,3.518660480848379
332,MTA1,ZNF195,3.5113890495331734
611,ARNTL2,SMAD1,3.4958843001442585
633,ZNF615,ZNF292,3.4382049906822023
950,TFDP1,ZFP91,3.426926436689733
33,SP100,ZNF322,3.3977089379126837
741,ZNF765,ZBTB45,3.386886980334415
192,ZNF410,ZNF879,3.382643959911836
96,ZNF117,ZNF562,3.371653210441684
968,PPARD,ZNF385A,3.356647642268904
966,ZNF704,TCF7,3.3563230846983205
842,ZNF383,ZNF322,3.332065447860042
334,MBD2,RBPJ,3.314228226036907
1051,ZNF470,ZNF230,3.3066499771446627
593,ZFHX2,ZNF518B,3.298099526292518
151,ZSCAN21,FOXO4,3.247172099986607
36,MESP2,FOXD4L1,3.2468627779797763
205,TCF7L2,SOX9,3.2137163147634777
1078,ZNF419,BHLHE41,3.211308056224165
568,ZNF35,JUND,3.21075607967427
1174,TAL2,ZNF319,3.2094814505741005
955,PLAGL2,TMF1,3.1941872309505857
593,ZFHX2,GATA2,3.1735917308523995
6,ZNF626,ETS2,3.1703527016181363
117,ZNF181,ZNF865,3.144392664677378
209,ZBTB18,ZNF821,3.13557731608995
511,ISX,ZNF230,3.1328736334849387
958,NFRKB,NFE2L2,3.1239137431256654
885,ZNF70,NFIL3,3.1189640025698475
725,LRRFIP1,RFX1,3.1123409024242297
1152,CREB3L2,NCOR1,3.1075983948792216
924,ZKSCAN5,POU2F1,3.0918105485591902
756,MNX1,NFKB1,3.0890113637220242
416,ZNF865,ZBTB49,3.0848937651602966
807,ZNF493,ZNF710,3.0738751936335857
875,ZNF215,ZNF430,3.068039069564488
1162,E2F1,IRF6,3.0638207982276713
572,ZNF699,ZNF577,3.041403832510036
1054,XBP1,TSC22D3,3.038630911397054
1051,ZNF470,ZNF416,3.032289129723452
848,ZNF609,JUNB,3.029709486978992
733,ZBTB44,PEG3,3.023872139482916
811,ZBTB11,ZNF485,2.9890761641561987
1031,ETV6,GATA6,2.9882335734661183
195,MYNN,KLF2,2.982197143810757
1003,SMARCC1,TSC22D3,2.9781621562602534
42,TSHZ2,TGIF2,2.975563981044166
429,MYC,ARID5A,2.9743785160618574
941,PRDM12,REPIN1,2.9703066281942467
931,ZNF75D,SREBF2,2.968357300664113
53,RARG,ZNF577,2.9632724596489535
818,ZNF789,ZNF230,2.949991649331438
194,AHR,ZNF121,2.9468849879496717
1016,ZNF107,ZNF512B,2.9429029679768943
241,ZNF251,MBD3,2.9351732005696625
343,FOXH1,NCOR1,2.93476610119525
486,CARF,IRF6,2.9269965736983967
857,ZNF580,EBF4,2.924080960963179
262,ZNF26,ZNF345,2.906072873887174
128,PBX1,ZFHX3,2.9041210508701245
374,ZNF644,ZNF865,2.8977078432415078
995,EN2,KLF2,2.8976213878886563
1096,ZNF135,ZBTB38,2.8968883481936705
265,ZBTB48,ZNF12,2.8954815765988147
419,ZNF846,ZBTB37,2.89197544324254
858,ZNF112,ZSCAN2,2.890883134493659
16,EGR1,E2F5,2.890188796958856
1051,ZNF142,ZNF470,2.8882218258957044
132,ZNF254,MSX1,2.8821626240842546
581,ZNF879,IRF7,2.8697962048378955
792,ZNF429,ZBTB33,2.869491997577377
330,ZNF14,TSC22D3,2.8634398716451868
903,IKZF2,HOXA4,2.8626422017408037
634,BHLHA15,REPIN1,2.8532646955199215
928,MXD3,RUNX2,2.851102207211791
686,ZNF175,E2F5,2.8326740398993766
385,ZNF570,TSC22D3,2.8300831089337097
1078,ZNF419,ZNF470,2.821844348434407
224,MXI1,JUNB,2.8208075336562164
725,ZFY,ZNF689,2.8120151584487214
958,NFRKB,IRF6,2.8082981459995717
1007,ZNF425,ZNF583,2.80648482913634
123,SIX2,ZBTB14,2.802739454983336
943,SP2,ARID5A,2.7946924338531103
797,KIAA1549,KLF2,2.791068983925866
859,C11orf95,THYN1,2.7890378097831214
98,ZNF737,ZSCAN2,2.784721804842747
793,ZNF429,GABPB2,2.7730071666879494
141,ETS2,TEAD1,2.772659189030117
222,ZNF688,ZFP64,2.769601217688823
239,ZNF23,JUNB,2.7646734637364574
654,ZNF19,ZNF367,2.7637854227295766
1139,HMGB3,ZNF32,2.7593615631842052
156,ZNF555,IRF3,2.754551139905463
506,ZNF587,NCOR1,2.7545282045902693
194,AHR,TSC22D3,2.753479845642234
969,ZNF180,IRF6,2.7524130128941797
14,ZNF728,ZBTB46,2.7483744695524623
683,ZNF234,L3MBTL3,2.7437442399400873
126,ZNF576,HMGB2,2.7428317890124108
215,TFB1M,ZNF345,2.736009923477492
1052,LCOR,ETV5,2.7353428085185962
358,AFF3,ZNF865,2.7281344131754652
492,ZNF559,ZNF12,2.7257287453341945
83,HMGA1,ZNF552,2.724893544339296
960,ZNF551,PRDM10,2.7240134574426302
914,ZNF596,GATA6,2.7229009240625364
716,MTA2,REPIN1,2.7220232137876006
888,ZNF233,ZNF384,2.718030841520864
853,ZSCAN29,ZBTB40,2.7155715165852885
922,ZNF300,HEY1,2.713136445884603
984,KHSRP,YBX3,2.711053409631159
1127,ZNF460,ZNF470,2.710652421947138
835,ZNF343,ZFP64,2.7094783400359255
1,HES7,ARID5A,2.709414300772863
612,ZNF844,SALL2,2.708658442867366
453,ZNF653,ZNF441,2.707123167349338
657,ZKSCAN1,ZNF32,2.704450268076839
1164,ZNF695,NCOR1,2.6997130933189233
791,ZFP64,TSC22D3,2.6941149653372696
383,ZMIZ2,LYAR,2.693983428232307
52,ZNF219,ZKSCAN8,2.6918756767887952
650,ZSCAN25,IRF3,2.6887192925472956
652,ZNF670,JUNB,2.679591647070111
130,BACH1,MIS18BP1,2.6785573056451937
71,DMRT1,ZNF235,2.6773918093863163
346,ZNF483,TADA2B,2.677324565748681
119,FOXD2,LCORL,2.6751303384941143
546,ATF7,RUNX2,2.6728701511980337
531,NKRF,ZNF331,2.6706148708053368
1022,NR2C2,HMGB2,2.670314694872164
604,AEBP2,CBFB,2.6681674561611697
369,ZFP28,REPIN1,2.667854951833224
1072,KLF8,ZBTB14,2.66646822665359
243,ZNF441,TSC22D3,2.6594212720615804
717,MTA2,PRDM10,2.6572648816888504
429,ZNF584,MYC,2.6561200700943908
157,YEATS4,ZNF574,2.6554478457705604
916,ZNF805,ZFP64,2.6531684498532027
397,KLF11,POU2F3,2.6525192791468255
805,LMX1B,ZNF470,2.648509098952606
16,EGR1,DBP,2.647060658083802
8,PRDM8,ZBTB42,2.6440841586101644
1077,ZNF37A,ZNF718,2.640215950004339
474,CAMTA2,ZNF367,2.639289654008971
860,KLF2,ZSCAN2,2.6373694366951606
762,ZNF335,IRF3,2.6352137786256074
1118,ZIC2,ZNF436,2.635163411962655
148,ALX4,E2F5,2.63247113141695
