,TF,target,importance
141,ETS2,LTF,5.171212166102919
793,ZNF480,FOXK2,4.754632560311969
423,E4F1,PPARA,4.657791010153007
949,UBP1,FOXK2,4.446064450231259
682,MLXIP,ZNF239,4.4036230312682525
1182,TCF7,TFCP2,4.193371673995994
72,CEBPD,MYB,4.088001214997861
648,MIER3,DMTF1,3.9499313726519594
691,ZGPAT,RBAK,3.910043726580407
1082,SETBP1,ZNF512B,3.8376196578512767
774,ZFP69B,HOMEZ,3.7944900746555654
97,TCFL5,KLF8,3.776175505065226
438,ZNF783,FOXK2,3.762949783560591
436,ZFP36L2,FOXK2,3.697042160528901
147,DNAJC2,AKNA,3.6889211256426693
250,ZBTB34,FOXK2,3.6512284594813287
781,ZNF384,GTF2IRD1,3.6214075335132336
960,ZNF551,CENPA,3.590691029343698
199,ZNF404,ZNF471,3.5831215378391565
496,RXRB,FOXK2,3.57856901313765
945,ZBTB37,NR2F1,3.5677189113637606
1155,MYBL1,ZNF670,3.475875341786553
170,PHB,ZNF354B,3.432239713944897
350,ZNF426,ZBTB4,3.4117188879820426
436,ZNF337,THAP6,3.3972655847392215
1035,NFIA,MXD4,3.3966119905846264
272,NR4A2,ZNF143,3.372898211952263
26,FEZF2,RFX3,3.346816216450736
215,TFB1M,ZNF212,3.331464945958798
765,ZNF260,ZNF445,3.3206615711228777
879,ZNF585B,JARID2,3.311957966596461
887,ZNF597,FOXO3,3.3006945021864396
457,E2F4,MAZ,3.294151897682441
258,ZNF579,ZNF431,3.234072238848259
1073,ZNF45,ZNF286B,3.2106765374242126
107,STAT6,ZBTB20,3.208468987937823
723,KLF4,PAX1,3.1891241807577275
572,ZNF699,NFAT5,3.185066533979202
1164,ZNF695,ADNP,3.1828171589751464
974,ZNF398,ZNF628,3.1730343435728288
1077,ZNF37A,TSHZ1,3.107684610165558
614,CIC,ZNF579,3.089955849020523
491,ZNF121,FOXO1,3.0863107940535577
173,ZBTB47,ZNF490,3.0717607661932864
274,ZNF669,SP1,3.070767582689247
735,ZNF823,BCLAF1,3.0396167172389665
1034,FOXP4,ZNF585A,3.038480366514363
898,ZNF207,ZNF493,3.032450069750784
461,ZNF239,ZNF219,3.026474480099814
320,PARP12,ZBED4,3.018929783278863
428,IRF6,SP1,3.018695920829358
1179,FOXN4,ZNF354C,3.008804036212024
886,ZNF597,RFX6,3.006159454412257
998,FOXP1,ESRRG,3.005011094862352
654,ZNF19,LRRFIP1,3.001800612420726
952,NFX1,ZNF438,2.9945187299920453
398,BNC2,MTA3,2.9879977445960404
640,ZSCAN20,PPARA,2.9845646070191223
344,CNBP,FOSL2,2.9824429271811814
815,ZNF687,ZNF267,2.9806114896485245
590,ZNF276,CREB3L4,2.9761659578090875
630,MBD4,LHX4,2.9585311556329907
833,ZNF527,ZNF473,2.956979717391413
875,ZNF215,CARHSP1,2.9566172977395273
197,NR4A1,ZNF354C,2.948928835891401
315,LRRFIP2,RBPJ,2.945830371365955
41,PPARG,THAP8,2.943459081228757
76,JUNB,TOX3,2.9319685643524775
1109,NR2F2,SOX12,2.9286541713370706
424,E4F1,KLF2,2.9270581799921827
821,CCDC88A,PPARA,2.925171771339441
948,ZNF780A,FOSL2,2.923092312930275
1100,ZNF827,YBX1,2.9213670042267283
712,ARNT,ZNF197,2.92009629703248
484,FOXN3,ZNF14,2.9183535726357697
883,ARNT2,ZNF239,2.91723364004658
