,TF,target,importance
38,DUSP2,MAP3K14,5.050874132035476
102,GADD45G,DUSP1,4.565342677328081
171,ALDH9A1,FGF12,3.673792668229224
27,NFKB2,HADHA,3.6206757689505658
6,MAPK11,DUSP14,3.45669982092614
29,CACNB2,DUSP2,3.4449074518165483
181,ELK4,PPM1A,3.3655081757643344
121,DAXX,ACSL1,3.3460044124237
72,JUN,CPT1B,3.341456440061785
25,HSPB1,PPP3R1,3.2584026718112913
204,TP53,HADHB,3.257202190673886
181,ELK4,AKT2,3.233144404183653
80,PDGFB,RRAS,3.2285709501188404
81,PDGFB,PPM1A,3.2260565647302326
26,NFKB2,CACNA1I,3.163597346145142
30,PDGFA,PPP3CB,3.0475240950946767
224,PLA2G2A,NTRK2,3.032362851726663
17,CACNA1I,HADHA,3.0124973143943223
217,NFKB1,ACSL5,3.0006559382145346
85,HSPA8,SOS2,2.9686087857037413
24,DUSP4,MRAS,2.9502516342447755
21,GADD45B,ALDH1B1,2.9328221825729273
4,PTPRR,DUSP16,2.9111357282096377
28,RASGRP1,ACOX3,2.9024136718613716
124,MAP4K3,GRB2,2.894153875604522
141,RAF1,MAP3K3,2.880370449933911
72,JUN,PPP3R2,2.869197714817869
139,MAPK9,ACSL1,2.8682973198089403
224,PLA2G2F,SOS1,2.8646545096178455
207,RPS6KA2,ACSL3,2.8638814988608843
112,TAOK2,RPS6KA5,2.856409044425468
160,RPS6KA4,FLNB,2.8420171322003607
80,PDGFB,DDIT3,2.834931213783582
143,NRAS,FGF13,2.830491901924285
204,TP53,PLA2G4A,2.829830746569261
2,PLA2G4A,HSPA2,2.8231206932089643
100,FLNB,CACNA1I,2.795753228747559
58,PLA2G12A,MECOM,2.7954292082306345
86,MAP2K5,CACNA1H,2.7939576804239072
225,NTRK2,CDC42,2.79295431841402
176,MAX,CHUK,2.778991764170456
213,TGFBR1,CACNG4,2.767228949217885
153,MAP2K4,CHP1,2.7579301139334493
217,NFKB1,MAPK8IP1,2.7574839670568085
206,MAP2K6,MAP4K3,2.741200263495311
105,MKNK1,GNG12,2.738824964994478
39,FGFR4,RAF1,2.7241812979349507
95,MAP3K11,PPM1B,2.7225725548648647
52,MEF2C,ACOX3,2.719535870323352
129,TRAF2,RELA,2.7156834273842865
167,ACSL3,CACNA1D,2.70767664334123
42,ARRB2,RRAS,2.7058938463061724
172,CRKL,MAPT,2.700891339822616
70,MRAS,MAP3K2,2.687973100174513
99,CHP1,PPM1A,2.675532365793639
111,TAOK2,FGF13,2.669179681353943
118,MAPK8,HSPA2,2.6613358265648452
54,CHUK,MAPKAPK2,2.6603844912335055
13,GADD45A,NFKB2,2.6601736160288803
50,CACNB3,CACNA1I,2.658197651065358
31,NFATC4,DUSP2,2.6449545435545456
171,MAP3K3,ACOX1,2.63656318371249
36,LAMTOR3,RRAS,2.6365311953267097
2,PLA2G4A,RPS6KA3,2.6359245388973243
19,ACAA2,NFATC4,2.6192045034476243
44,MAPKAPK3,CACNB2,2.6169268074596554
79,MAPK3,ACOX1,2.5969714285533927
190,CPT2,MAP3K11,2.5950798767815058
95,MAP3K12,DUSP4,2.5733236246011
68,HADHB,CHP1,2.5688957850502683
178,MAP2K3,MAP3K11,2.5650578858213606
109,MAPKAPK5,MAP3K14,2.557317593090282
179,BRAF,DUSP5,2.556202777793522
27,NFKB2,NR4A1,2.5528301401827918
140,RAF1,HSPB1,2.5526556791678914
43,ARRB2,PLA2G6,2.5477184238342
1,FGF13,ECI2,2.546466618736002
141,RAF1,MAP2K6,2.541505337179876
17,CACNA1I,ACSL6,2.5307486408523863
17,PPP3R2,NTF3,2.5251429058152564
105,MKNK1,RPS6KA4,2.5180509165582503
155,JMJD7-PLA2G4B,RELB,2.5154324277611075
111,PLA2G5,HRAS,2.512399496042786
6,MAPK11,ALDH1B1,2.5121351351852206
197,NF1,CACNB2,2.5103514789536567
218,EHHADH,RASGRP1,2.489587720260388
114,IKBKB,IL1R1,2.487056859531273
125,DUSP14,PLA2G12A,2.4808202057537527
11,DDIT3,IL1R1,2.4510747576277203
196,MAP3K2,FGF21,2.4400437805895754
69,MRAS,NFKB2,2.439892548240042
115,IKBKB,PDGFRB,2.4376303916219473
38,DUSP2,KRAS,2.4243495286017596
157,HSPA1L,CACNA1I,2.42415249147362
179,BRAF,DUSP2,2.40597491714892
55,CHUK,ACADS,2.396794830292759
48,CPT1B,ATF2,2.3940577611560028
120,ATF2,RAF1,2.3924550610949122
37,LAMTOR3,CRKL,2.39215128456725
77,ECI1,FLNB,2.3771388022696276
57,PLA2G12A,MAPK8IP2,2.3732398018857337
117,MAPK8,GADD45G,2.369234228864012
68,HADHB,MAP3K3,2.362243156532727
20,CACNA1H,MYC,2.3573197147350604
59,MAP3K14,MAP2K1,2.3563435693377115
219,TGFB3,EGF,2.3535169526731607
168,RASA2,DUSP4,2.3528549598371873
71,NFATC2,RELA,2.3402999642190525
194,EGFR,DUSP4,2.333245249155871
122,DUSP7,ACAA2,2.3247400746816274
122,DUSP7,LAMTOR3,2.3227001543306134
109,MAPKAPK5,PDGFA,2.3212614333549912
101,FLNB,TAOK3,2.319890516392376
58,PLA2G12A,TRAF2,2.319805989183894
166,PLA2G4B,MAPKAPK3,2.3194282892005367
84,FLNA,RPS6KA6,2.317788773070915
79,MAPK3,PLA2G6,2.2917496956939925
57,MAP2K2,NTRK2,2.286100525510916
80,GCDH,GNA12,2.2830102718713685
30,PDGFA,MAP3K14,2.2816988653314363
17,CACNA1I,STMN1,2.278298801948909
165,MAPK7,HADH,2.270864555207515
57,MAP2K2,BRAF,2.257151492640794
225,NTRK2,PPP3R2,2.2504556478783453
82,ACSL1,MAPK1,2.2503503347842284
226,FGF21,GRB2,2.2475213054629353
53,PPP3CC,DUSP2,2.2407089381302425
120,CDC42,CHP1,2.240270525092104
31,NFATC4,PPM1A,2.237123600793408
156,JMJD7-PLA2G4B,MAP3K4,2.2370920656116793
193,RASA1,PLA2G4A,2.2344708322547047
21,GADD45B,PPM1A,2.2134728884423116
127,PPP3CB,MAPK3,2.2118792256678708
182,ELK4,HSPA2,2.2107371079712235
155,JMJD7-PLA2G4B,DUSP7,2.2093392897966897
6,MAPK11,CACNA1I,2.2084491886352278
59,MAP3K14,HADHA,2.2009808676911478
169,ALDH2,GCDH,2.197246627795923
173,RAC1,MAP2K5,2.1955911556497574
97,PPM1A,PPP3CB,2.1951001188972157
167,PLA2G4B,CRKL,2.1894161485416506
24,DUSP4,MAP3K14,2.177338630959977
141,ACOX3,CACNB2,2.1768392668687904
149,TAB2,RRAS,2.1754452499543286
141,ACOX3,RRAS,2.175148570392396
81,ACSL1,MAP3K14,2.163914858833714
59,MAPT,MAPK11,2.1597871367233976
41,ADH5,PPM1A,2.1567427452059738
150,TAB2,DUSP16,2.1522853149339207
67,HADHB,ARRB2,2.145741749438832
116,ALDH3A2,CACNA1I,2.1415291010287416
5,ACSL4,TAOK2,2.1391950319565307
171,MAP3K3,GADD45G,2.1385256434038187
13,GADD45A,ECHS1,2.135152270153087
50,RRAS2,CHP1,2.134100791125987
165,ACOX1,PLA2G2F,2.126145970862728
120,CDC42,ECHS1,2.125348959993751
83,FLNA,ADH1C,2.121795618365073
189,TAOK1,MAP3K11,2.109455557949347
13,GADD45A,PPP3CB,2.1003251192594012
25,HSPB1,MKNK2,2.095640873874438
53,MAPKAPK2,TGFB3,2.0933564635210193
207,MAP2K6,MAP4K1,2.08215048825201
196,TNFRSF1A,CACNG4,2.0811463704296496
38,DUSP2,CHP1,2.079967763617178
85,SRF,PRKX,2.0744464711601682
181,ELK4,MAP3K14,2.073475101539664
138,RELA,RRAS,2.0709323886973063
100,FLNB,RRAS,2.062607853706009
157,HSPA1L,MAP3K11,2.059318160810612
112,TAOK2,AKT1,2.0580995600277103
123,ELK1,PDGFB,2.0565612115992513
112,TAOK2,MAPK8,2.051582371143935
186,MAPK1,RRAS,2.048456160546512
10,FGFR3,EGFR,2.041566473381403
128,PPP3CB,PRKACB,2.041346245328778
88,HADH,JUND,2.0368013702803744
218,EHHADH,TAB1,2.032561630096144
13,GADD45A,RASA2,2.0292918283949573
133,HADHA,NF1,2.027469976720478
148,DUSP3,MAP2K2,2.023681226950126
82,ACSL1,MAP3K1,2.0224374989063416
23,MAP3K5,MAP3K1,2.0172014550534043
24,DUSP4,DUSP2,2.0144126443317956
107,NLK,FOS,2.014227611583883
37,LAMTOR3,CHP1,2.0127035971575786
132,HADHA,JUN,2.011479663146528
155,JMJD7-PLA2G4B,CHP1,2.008902624498359
12,DUSP6,CDC25B,2.005878256879655
57,PLA2G12A,MAPKAPK2,2.0054084009704645
170,ALDH9A1,RRAS,2.00370009260433
217,NFKB1,HADHA,1.9997355331615616
175,MAPK14,HADHA,1.999426478643361
87,MAP2K5,ACADVL,1.9967478145649502
146,STK4,MAP3K14,1.990298683104359
15,NTF3,JMJD7-PLA2G4B,1.9822135783110317
68,HADHB,PLA2G2F,1.9806077235559112
118,ECHS1,RAP1B,1.9722569386400908
34,MAPK12,CACNA1A,1.970495475672367
67,HADHB,CACNB3,1.969010068796667
4,PTPRR,CRK,1.9646210157668265
147,STK4,MAP3K1,1.9640091551479912
86,SRF,DUSP3,1.963798058604889
201,SOS2,ELK4,1.9622489210452418
7,PRKCA,ELK1,1.957368277056027
42,NTF4,MAPK3,1.9546191393648116
166,MAPK7,TGFB3,1.9542547561487635
110,MAPKAPK5,ACADSB,1.9515992277101646
6,MAPK11,TAB2,1.945321873946724
105,MAPK8IP3,ECI1,1.9377056160973922
94,MAP3K11,PDGFA,1.9321923277326043
2,PLA2G4A,PLA2G2F,1.9300387580547136
67,HADHB,CACNB2,1.9299092075240998
197,NF1,RRAS,1.9293831044943028
151,ECI2,GADD45A,1.9271392190863836
141,RAF1,MAP4K4,1.922628472830329
154,CACNG4,CACNA1A,1.9225661930623452
156,FGF22,ELK1,1.9184166483426124
51,CACNB3,FLNB,1.9182373462704365
159,GNA12,DUSP7,1.917367669823231
195,MAP3K2,MAPK8,1.9169127783921016
91,MAP2K7,MAP3K3,1.915656289930771
58,PLA2G12A,FGF12,1.914922774074962
54,PPP3CC,CDC25B,1.9144496798796045
177,ALDH1B1,MAP3K13,1.9107707419476598
121,CDC42,PPP3CB,1.9100816076974916
4,PTPRR,RRAS,1.908311176653624
47,CASP3,MAP3K12,1.9018211581653799
109,MAPKAPK5,JUN,1.898057678020808
126,DUSP10,DUSP2,1.8977485865435744
141,RAF1,MAX,1.8960636287383572
183,PPP3CA,MAPK3,1.894405820617635
2,PLA2G4A,CPT1A,1.8918669992477748
220,FGF12,FAS,1.8880645963342317
151,PPP3R1,RPS6KA6,1.887429394194072
30,PDGFA,DAXX,1.8855794392864766
120,CDC42,DUSP2,1.8821415800841057
12,DUSP6,FGF22,1.8816443985309932
120,CDC42,RRAS,1.881055144426586
63,MAPK8IP1,HADHA,1.8792963290174916
163,DUSP8,FGF22,1.8780864403454125
31,NFATC4,MECOM,1.8775551681735663
202,HSPA2,RRAS,1.8767943763978687
211,MAP3K1,RELA,1.8704283003376614
89,CPT1C,RAC3,1.870361745340136
210,TRAF6,ACSL1,1.8684018352692182
102,IL1R1,CRK,1.8675379890877764
212,SOS1,TRAF2,1.8669069776247647
88,HADH,RPS6KA3,1.8644199393281244
120,ATF2,RAC1,1.8623407270516306
6,MAPK11,PPP3R2,1.861349722679328
31,NFATC4,KRAS,1.853278971669381
125,MAP4K3,STK3,1.8519393259068637
65,AKT2,ACAA1,1.8507061566841527
187,KRAS,TAOK2,1.8491298335079693
169,ALDH2,HADH,1.8460705060342573
69,ACAT1,MAP2K7,1.8440689267968489
73,JUN,HADHA,1.8418983320700426
92,ATF4,CACNA1G,1.8404294773419871
44,CACNB1,MECOM,1.8383177594002704
74,ARRB1,HADHA,1.8356879755505848
104,MKNK1,MAP3K14,1.8337824326785452
51,MEF2C,CPT1B,1.8317746175381084
38,DUSP2,NFKB1,1.8315843368913491
155,JMJD7-PLA2G4B,RELA,1.830986546137555
199,PRKACA,DUSP2,1.8264044819739427
185,RAPGEF2,ECI1,1.8236626109432559
88,HADH,FOS,1.8218581037656143
6,MAPK11,RAC1,1.8212784625989304
102,IL1R1,ELK1,1.8173563396332737
209,MAP3K4,FGF21,1.8170254174657359
33,MAPK8IP2,TRAF2,1.8140991617918667
120,CDC42,ACADS,1.808038354904061
8,ADH1C,CACNG4,1.8077380917683967
89,HADH,ACSL3,1.8075603659051438
204,TP53,MAP2K4,1.8057536394415108
150,PPP3R1,MYC,1.8050008846240855
46,CASP3,DUSP2,1.8031906958538877
169,RASA2,RPS6KA6,1.8026278938362383
161,HRAS,NFATC2,1.8019701205575958
84,HSPA8,ACAT1,1.8011111339491452
81,ACSL1,PPP3R2,1.800715544985209
92,RAP1B,HADHB,1.7905142013921245
161,HRAS,ECI1,1.7873717249854852
44,CACNB1,PPP3CA,1.784514987826649
162,HRAS,DUSP16,1.7804918991758814
41,NTF4,DUSP6,1.7793181207599267
151,PPP3R1,NF1,1.7767491849258652
126,DUSP10,MAP3K11,1.7764767066850737
82,RAP1A,CACNA1A,1.7728315000249524
106,MAPK8IP3,DUSP14,1.7706252215316323
38,DUSP2,MYC,1.769951236731089
38,DUSP2,FGF12,1.767141585395376
76,PRKX,FGF21,1.763102467206878
64,MAP3K8,RELA,1.7607353882574015
191,IKBKG,MKNK2,1.759267300728039
93,RAP1B,DUSP3,1.7590688300607347
141,ACOX3,PPM1A,1.7585574649593907
37,DUSP2,CACNA1A,1.7583284486509734
180,CACNA2D2,RPS6KA1,1.757904059887319
102,GADD45G,HSPA8,1.7538004809506156
90,MAP2K7,ECSIT,1.7524598187664917
187,KRAS,HADHA,1.7521060536684148
192,RPS6KA6,ECI1,1.7495164179621059
172,CRKL,ADH5,1.7471743835918625
109,MAPKAPK5,FAS,1.7458001713767217
0,CACNA1A,HADHB,1.7448727355240106
96,PPM1A,RRAS,1.7447875928275176
147,ACADVL,RASGRP1,1.7442879048063586
3,HSPA6,RPS6KA2,1.7422003670422106
178,MAP2K3,MAPKAPK3,1.741400383238216
127,DUSP10,MAX,1.7406261804476235
43,ARRB2,RPS6KA4,1.738749639644149
111,TAOK2,CACNA1A,1.737552153174456
109,MAPKAPK5,MAPKAPK3,1.7368583817763161
185,RAPGEF2,PLA2G12A,1.7347094505335363
1,FGF13,CACNA1D,1.7329053540569683
33,MAPK8IP2,CRKL,1.7308780718908228
148,DUSP3,MAP3K14,1.7308063766553814
56,DUSP1,HADHA,1.7301812513326853
20,CACNA1H,FGF22,1.7287211269342462
161,RPS6KA4,FGF21,1.7280167281094612
119,ECHS1,IKBKG,1.726485285568316
19,CACNA1H,FGFR3,1.726089250873607
3,HSPA6,EGF,1.7258535325114281
106,MAPK8IP3,TAB2,1.7255516173505792
203,MAP4K4,RPS6KA4,1.7245700349884514
31,JUND,CACNA1A,1.7245527800617135
43,ARRB2,PPM1A,1.7231766648330205
204,TP53,RELB,1.7221963957686641
145,MAP3K7,ACAT1,1.7220604078926265
30,PDGFA,FGF12,1.7216162202820142
125,MAP4K3,ACOX1,1.7210324892767872
217,NFKB1,HSPA2,1.7198873620735688
168,RASA2,AKT2,1.7183568690829727
50,RRAS2,ECI1,1.7178792389946276
222,CACNA1G,ECSIT,1.717585868373038
191,IKBKG,MAP3K13,1.7162017531353089
225,NTRK2,CPT1B,1.7157486137642084
197,NF1,NRAS,1.715125490433878
195,MAP3K2,ECI1,1.7148212961511402
199,PRKACA,ECI1,1.7147010412446602
142,RPS6KA5,MAP3K14,1.7142587241454155
69,MRAS,PLA2G4A,1.7129328115881952
21,GADD45B,MAP4K2,1.7128434256311071
50,RRAS2,RASA1,1.7125498761494506
26,DUSP9,CACNB1,1.7123301270625877
211,MAP3K1,TNFRSF1A,1.7114110192098915
18,PPP3R2,DUSP16,1.7113801349201554
148,DUSP3,ELK1,1.7110540678417527
150,PPP3R1,RRAS2,1.7098245436486348
82,ACSL1,HADH,1.70962556658119
217,NFKB1,ACSL1,1.7086698429334146
12,DUSP6,ACOX1,1.7082213913080047
146,STK4,PPP3R2,1.7035778977819849
17,CACNA1I,MAPK8IP1,1.7005201072721512
57,MAP2K2,ACAT1,1.7002469643242046
223,PLA2G2A,MAP3K3,1.6999107662806385
60,HSPA1B,MAPK10,1.699564983101242
112,FGFR1,NFKB2,1.6983249978872847
209,PAK2,TNFRSF1A,1.6979138565301157
136,PAK1,CACNA1D,1.6975163286700794
186,MAPK1,MAPK8IP2,1.6967822320858557
146,STK4,HSPB1,1.6964076416184737
7,PRKCA,NFATC2,1.696194592252481
85,HSPA8,ECHS1,1.6957978058756238
96,PPM1A,NFKB2,1.695591476520057
151,PPP3R1,PPP3CA,1.693585422263643
105,MAPK8IP3,FAS,1.691427314500086
145,MAP3K7,RRAS,1.6908519295321425
226,FGF21,CACNB2,1.690316182143806
131,GNG12,CACNA1A,1.6902209377717736
112,TAOK2,CRKL,1.688917733323957
216,CPT1A,MAP3K6,1.6880026462003914
143,NRAS,MAP3K5,1.6879454840563017
187,KRAS,HSPA8,1.6869561468675303
199,PRKACA,ACOX1,1.6867839427401787
38,DUSP2,ECHS1,1.6861948139513148
40,ACADM,CACNB3,1.6859745127854284
55,CHUK,RASA2,1.6855471831430453
43,ARRB2,BRAF,1.684770765121921
163,DUSP8,MYC,1.6846586560543528
174,EGF,LAMTOR3,1.6843815278885208
29,CACNB2,CACNA2D2,1.6836183392232689
200,MECOM,MAP3K3,1.6833073221994752
194,EGFR,HADHA,1.6827361164616317
52,MAPKAPK2,CPT1B,1.6816052163503008
164,ACOX1,HSPA1L,1.6807165871268057
39,FGFR4,ARRB2,1.6796809692117598
14,RELB,ARRB1,1.6779071909448897
169,RASA2,CACNA2D2,1.677631887955255
41,ADH5,ARRB1,1.6772001618482997
140,MAPK9,ACOX1,1.6766441854305674
98,RPS6KA1,MAPT,1.6757472047618043
128,PPP3CB,STK4,1.6753537911489937
190,CPT2,FGFR3,1.675258856377079
94,MAP3K6,ACSL5,1.6747339747313805
226,FGF21,RELA,1.6731486648280378
